date,symbol,action,shares,price,value,fee
2015-05-03,ARCC,BUY,800.0,17.48,13984.0,5.0
2015-05-03,VLMR,BUY,13725.0,1.02,13999.5,5.0
2015-05-03,JUFO,BUY,1502.0,9.32,13998.640000000001,5.0
2015-06-01,ARCC,SELL,800.0,16.7,13360.0,
2015-06-01,VLMR,SELL,13725.0,0.97,13313.25,
2015-06-01,JUFO,SELL,1502.0,9.73,14614.460000000001,
2015-07-02,EAST,BUY,4487.0,3.55,15928.849999999999,5.0
2015-08-03,EGCH,BUY,5425.0,3.11,16871.75,5.0
2015-08-03,ARCC,BUY,1048.0,16.1,16872.800000000003,5.0
2015-08-03,ORWE,BUY,2414.0,6.99,16873.86,5.0
2015-08-03,COMI,BUY,947.0,17.81,16866.07,5.0
2015-08-03,BFTH,BUY,12407.0,1.36,16873.52,5.0
2015-08-03,VLMR,BUY,17396.0,0.97,16874.12,5.0
2015-08-03,EAST,BUY,432.0,3.43,1481.76,5.0
2015-09-01,EAST,SELL,4919.0,3.3,16232.699999999999,
2015-09-01,EGCH,SELL,5425.0,2.49,13508.250000000002,
2015-09-01,ARCC,SELL,1048.0,13.91,14577.68,
2015-09-01,ORWE,SELL,2414.0,6.47,15618.58,
2015-09-01,COMI,SELL,947.0,15.99,15142.53,
2015-09-01,BFTH,SELL,12407.0,0.88,10918.16,
2015-09-01,VLMR,SELL,17396.0,0.95,16526.2,
2015-10-04,COMI,BUY,1024.0,16.9,17305.6,5.0
2015-10-04,ORWE,BUY,2591.0,6.68,17307.88,5.0
2015-10-04,EAST,BUY,4989.0,3.47,17311.83,5.0
2015-11-01,COMI,SELL,1024.0,16.84,17244.16,
2015-11-01,EAST,SELL,4989.0,3.39,16912.71,
2015-11-01,EFID,BUY,1100.0,16.75,18425.0,5.0
2015-11-01,ARCC,BUY,1421.0,12.97,18430.370000000003,5.0
2015-11-01,OIH,BUY,5814.0,3.17,18430.38,5.0
2015-11-01,HRHO,BUY,4607.0,4.0,18428.0,5.0
2015-11-01,ORWE,SELL,73.0,7.32,534.36,0.0
2015-11-01,CCAP,BUY,9909.0,1.86,18430.74,5.0
2015-11-01,BFTH,BUY,15107.0,1.22,18430.54,5.0
2015-12-02,ORWE,SELL,2518.0,5.59,14075.619999999999,
2015-12-02,ARCC,SELL,1421.0,11.17,15872.57,
2015-12-02,OIH,SELL,5814.0,2.1,12209.4,
2015-12-02,HRHO,SELL,4607.0,3.46,15940.22,
2015-12-02,CCAP,SELL,9909.0,1.61,15953.490000000002,
2015-12-02,EFID,SELL,40.0,16.45,658.0,0.0
2015-12-02,BFTH,BUY,459.0,1.12,514.08,5.0
2015-12-02,GBCO,BUY,5930.0,2.94,17434.2,5.0
2016-01-03,ADIB,BUY,5434.0,3.47,18855.98,5.0
2016-01-03,EFID,BUY,93.0,16.35,1520.5500000000002,5.0
2016-01-03,HELI,BUY,4532.0,4.16,18853.12,5.0
2016-01-03,HRHO,BUY,4822.0,3.91,18854.02,5.0
2016-01-03,OIH,BUY,6958.0,2.71,18856.18,5.0
2016-01-03,GBCO,SELL,603.0,3.54,2134.62,0.0
2016-01-03,PHDC,BUY,8127.0,2.32,18854.64,5.0
2016-01-03,BFTH,BUY,550.0,1.17,643.5,5.0
2016-01-03,COMI,BUY,1241.0,15.19,18850.79,5.0
2016-02-01,EFID,SELL,1153.0,14.35,16545.55,
2016-02-01,BFTH,SELL,16116.0,1.12,18049.920000000002,
2016-02-01,GBCO,SELL,5327.0,2.63,14010.01,
2016-02-01,ADIB,SELL,5434.0,2.92,15867.279999999999,
2016-02-01,HELI,SELL,4532.0,3.54,16043.28,
2016-02-01,HRHO,SELL,4822.0,3.17,15285.74,
2016-02-01,OIH,SELL,6958.0,2.18,15168.44,
2016-02-01,PHDC,SELL,8127.0,2.0,16254.0,
