date,strategy_equity,equal_weight_equity,etf_dca_equity,etf_buy_hold_norm
2015-02-01,110000.0,109030.57073111003,108893.59028,1.0
2015-02-02,110000.0,109314.01073111003,109205.59028,1.002865329512894
2015-02-03,110000.0,111320.03073111,109829.59028,1.008595988538682
2015-02-04,110000.0,112228.97073110998,111077.59028,1.0200573065902578
2015-02-05,110000.0,111673.16073110998,110453.59027999999,1.0143266475644699
2015-02-08,110000.0,111518.68073110998,110349.59028,1.0133715377268384
2015-02-09,110000.0,110401.61073110998,111077.59028,1.0200573065902578
2015-02-10,110000.0,110863.43073110998,110661.59028,1.0162368672397326
2015-02-11,110000.0,108941.27073110998,108373.59028,0.9952244508118433
2015-02-12,110000.0,109016.40073111,108477.59028,0.9961795606494745
2015-02-15,110000.0,109429.79073110998,108477.59028,0.9961795606494745
2015-02-16,110000.0,107518.82073110998,106605.59028,0.9789875835721107
2015-02-17,110000.0,105780.97073110999,105877.59028,0.9723018147086914
2015-02-18,110000.0,106748.23073110999,106293.59028,0.9761222540592168
2015-02-19,110000.0,105979.08073110999,105357.59028000002,0.9675262655205349
2015-02-22,110000.0,106054.90073110998,104213.59028,0.9570200573065901
2015-02-23,110000.0,107033.43073111,107125.59028000002,0.9837631327602674
2015-02-24,110000.0,106775.58073111,106085.59027999999,0.974212034383954
2015-02-25,110000.0,105457.18073110998,106189.59028000002,0.9751671442215855
2015-02-26,110000.0,104432.14073111,104421.59027999999,0.9589302769818527
2015-03-01,120000.0,114176.81214561,113767.9533012,0.9541547277936963
2015-03-02,120000.0,115448.24214561,115248.3933012,0.9665711556829034
2015-03-03,120000.0,115982.57214560997,115362.27330120001,0.9675262655205349
2015-03-04,120000.0,115393.45214560999,115817.79330120001,0.9713467048710601
2015-03-05,120000.0,116675.55214561,116501.07330120001,0.9770773638968481
2015-03-08,120000.0,116985.11214561,116614.9533012,0.9780324737344794
2015-03-09,120000.0,117452.27214561001,117981.5133012,0.9894937917860552
2015-03-10,120000.0,116850.86214561001,117981.5133012,0.9894937917860552
2015-03-11,120000.0,114993.63214561001,115590.0333012,0.9694364851957975
2015-03-12,120000.0,115715.45214561,117639.8733012,0.9866284622731614
2015-03-15,120000.0,115596.73214560999,118664.79330120001,0.9952244508118433
2015-03-16,120000.0,114209.78214561,116273.31330120002,0.9751671442215855
2015-03-17,120000.0,113941.90214560999,116501.07330120001,0.9770773638968481
2015-03-18,120000.0,112890.22214561001,115476.15330120001,0.9684813753581661
2015-03-19,120000.0,113290.04214561002,115931.6733012,0.9723018147086914
2015-03-22,120000.0,110940.38214561001,113881.83330120001,0.9551098376313275
2015-03-23,120000.0,110668.01214561002,113881.83330120001,0.9551098376313275
2015-03-24,120000.0,110927.46214561,114337.3533012,0.9589302769818527
2015-03-25,120000.0,109560.32214561001,112970.79330120001,0.9474689589302769
2015-03-26,120000.0,107709.18214561002,110920.9533012,0.9302769818529131
2015-03-30,120000.0,104137.67214560999,111604.23330120002,0.936007640878701
2015-03-31,120000.0,104682.68214560999,111831.99330120001,0.9379178605539636
2015-04-01,130000.0,113935.89343405001,121351.5243256,0.9340974212034383
2015-04-02,130000.0,112902.83343405003,120855.2043256,0.9302769818529131
2015-04-05,130000.0,109349.84343405,117629.12432560002,0.9054441260744985
2015-04-06,130000.0,108463.69343405004,117629.12432560002,0.9054441260744985
2015-04-07,130000.0,110062.61343405003,117008.72432560001,0.9006685768863418
2015-04-08,130000.0,110848.87343405001,117008.72432560001,0.9006685768863418
2015-04-09,130000.0,111480.54343404998,118869.9243256,0.9149952244508118
2015-04-14,130000.0,111139.15343405001,119242.1643256,0.9178605539637057
2015-04-15,130000.0,110465.56343405003,118249.5243256,0.9102196752626551
2015-04-16,130000.0,110068.70343405001,117629.12432560002,0.9054441260744985
2015-04-19,130000.0,109834.05343405002,116264.2443256,0.8949379178605539
2015-04-20,130000.0,107275.53343405001,114651.2043256,0.8825214899713467
2015-04-22,130000.0,106470.00343405003,114651.2043256,0.8825214899713467
