date,contribution,active_members,tradable_members,purchased_symbols,per_symbol_budget,deployed_cash,buy_fees,cash_balance
2015-02-01,110000.0,31,22,22,5000.0,109927.85926889,329.19732389,72.14073111000289
2015-03-01,10000.0,31,21,21,479.62574910047636,9965.098585499998,124.68083549999999,107.04214561000231
2015-04-01,10000.0,31,24,24,421.1267560670835,9956.098711559998,139.63293155999997,150.94343405000438
2015-05-03,10000.0,31,25,25,406.0377373620002,9972.40692284,144.65550284,178.53651121000803
2015-06-01,10000.0,31,25,25,407.1414604484003,10023.48434879,144.75745379,155.05216242000859
2015-07-02,10000.0,31,23,23,441.5240070617395,10058.34626854,134.84699854,96.70589388000849
2015-08-03,10000.0,31,25,25,403.8682357552004,9940.487291,144.59179100000003,156.21860288001307
2015-09-01,10000.0,31,23,23,441.5747218643484,10050.576885789998,134.83149079000003,105.64171709001471
2015-10-04,10000.0,31,25,25,404.2256686836006,9990.13114052,144.69088052,115.5105765700145
2015-11-01,10000.0,31,25,25,404.62042306280057,9976.16630159,144.66300658999998,139.34427498001412
2015-12-02,10000.0,31,25,25,405.5737709992006,10036.607086880002,144.78364688000002,102.73718810001395
2016-01-03,10000.0,31,24,24,420.9473828375006,10048.479178709997,139.81732371,54.258009390014706
2016-02-01,10000.0,31,25,25,402.17032037560057,9945.539896039996,144.60187604,108.71811335001541
2016-03-02,10000.0,31,24,24,421.1965880562507,10019.306399610003,139.75909460999998,89.41171374001755
2016-04-04,10000.0,31,25,25,403.5764685496007,9952.57745306,144.61592306,136.83426068001853
2016-05-03,10000.0,31,25,25,405.47337042720073,10067.093142289998,144.84449729,69.74111839002023
2016-06-01,10000.0,31,26,26,387.2977353226931,9995.321615709998,149.69126071,74.41950268001983
2016-07-10,10000.0,31,25,25,402.97678010720074,9992.797793180001,144.69620318,81.62170950001979
2016-08-02,10000.0,31,26,26,387.75468113461613,9973.998419440002,149.64869944,107.62329006002199
2016-09-01,10000.0,31,25,25,404.3049316024009,10025.4993758,144.76147579999997,82.12391426002443
2016-10-03,10000.0,31,24,24,420.088496427501,9940.549921049998,139.60189605,141.573993210024
2016-11-02,10000.0,31,25,25,405.66295972840095,10020.867821179998,144.75223118,120.70617203002394
2016-12-01,10000.0,31,26,26,389.2579296934625,9944.575015089998,149.58997008999998,176.13115694002522
2017-01-02,10000.0,31,25,25,407.04524627760105,9979.945730360003,144.67055036,196.18542658002673
2017-02-07,10000.0,31,26,26,392.16097794538564,10020.0733654,149.74066539999998,176.11206118002764
2017-03-01,10000.0,31,26,26,391.38892543000105,10052.27369752,149.80493752000004,123.83836366002964
2017-04-05,10000.0,31,26,26,389.37839860230883,9919.251839830002,149.53942483000003,204.5865238300326
2017-05-02,10000.0,31,26,26,392.48409707038587,10058.09822833,149.81656332999998,146.4882955000317
2017-06-01,10000.0,31,26,26,390.2495498269243,9986.599857009998,149.67385201,159.88843849003126
2017-07-09,10000.0,31,26,26,390.7649399419243,9992.81536321,149.68625821,167.0730752800332
2017-08-14,10000.0,31,26,26,391.04127212615515,9985.246480659998,149.67115066000002,181.8265946200326
2017-09-07,10000.0,31,26,26,391.6087151776935,9994.87049026,149.69036026000003,186.95610436003022
2017-10-02,10000.0,31,26,26,391.8060040138473,10021.757567080002,149.74402708000002,165.19853728003017
2017-11-09,10000.0,31,26,26,390.96917451077036,9940.49483602,149.58182602,224.70370126003002
2017-12-03,10000.0,31,26,26,393.25783466384735,9992.935663329996,149.68649832999998,231.7680379300317
2018-01-02,10000.0,31,27,27,378.9543717751863,10013.0433534,154.7166534,218.72468453003313
2018-02-06,10000.0,31,27,27,378.4712846122234,10067.058107280001,154.82446728000002,151.66657725003347
2018-03-04,10000.0,31,27,27,375.98765100926045,9957.865698359998,154.60651836,193.8008788900337
2018-04-11,10000.0,31,27,27,377.54818069963085,9950.196565709997,154.59121070999998,243.60431318003418
2018-05-02,10000.0,31,27,27,379.39275234000127,9971.73028719,154.63419219000005,271.874025990035
2018-06-14,10000.0,31,27,27,380.43977874037165,10034.276324579998,154.75903457999996,237.59770141003497
2018-07-09,10000.0,31,27,27,379.17028523740873,10006.687497059998,154.70396706,230.91020435003588
2018-08-07,10000.0,31,26,26,393.4965463211552,9985.015905429998,149.67069043000004,245.89429892003614
2018-09-04,10000.0,31,26,26,394.07285765077063,10024.27384459,149.74904959,221.62045433003766
2018-10-03,10000.0,31,27,27,378.57853534555693,9994.587309989998,154.67981499000004,227.0331443400379
2018-11-01,10000.0,31,26,26,393.347428628463,10105.6869508,149.9115508,121.34619354003848
2018-12-03,10000.0,31,27,27,374.86467383481624,9956.031121529999,154.60285653,165.31507201003916
2019-01-06,10000.0,31,25,25,406.61260288040154,10006.28143163,144.72311663,159.03364038003815
2019-02-05,10000.0,31,26,26,390.7320630915399,10014.82026016,149.73018016000003,144.213380220038
2019-04-17,10000.0,31,26,26,390.1620530853861,9924.865845429998,149.55063042999998,219.34753479003865
2019-05-21,10000.0,31,27,27,378.4943531403718,10018.306483650002,154.72715864999998,201.04105114003937
2019-07-09,10000.0,31,26,26,392.3477327361553,10081.81740199,149.86390699000003,119.22364915003965
2019-08-21,10000.0,31,28,28,361.4008446125014,9968.81052929,159.61838429,150.41311986003973
2019-09-02,10000.0,31,28,28,362.5147542807157,9942.0537776,159.56497760000005,208.35934226004065
2019-10-24,10000.0,31,28,28,364.58426222357286,10079.396414600002,159.83911460000004,128.96292766004132
2019-11-03,10000.0,31,27,27,375.14677509852004,9976.602442049998,154.64391704999997,152.3604856100419
2019-12-03,10000.0,31,27,27,376.0133513188905,9980.081120519999,154.65086051999998,172.27936509004462
2020-01-02,10000.0,31,29,29,350.7682539686222,10012.206317590002,164.69502258999998,160.07304750004533
2020-02-05,10000.0,31,28,28,362.8597516964302,10005.29154068,159.69120067999998,154.7815068200456
2020-03-03,10000.0,31,29,29,350.16487954551883,10022.080952440003,164.71473243999998,132.70055438004562
2020-04-02,10000.0,31,29,29,349.4034673924154,10008.68753908,164.68799908,124.01301530004537
2020-05-07,10000.0,31,29,29,349.1038970793119,9973.128828609999,164.61702360999996,150.88418669004574
2020-06-04,10000.0,31,29,29,350.03048919620846,10050.952981240001,164.77236123999998,99.93120545004604
2020-07-06,10000.0,31,29,29,348.27348984310504,10027.524532869998,164.72559787,72.40667258004356
2020-09-03,10000.0,29,27,27,373.05209898444605,9915.760656359998,154.52247636,156.6460162200446
2020-10-04,10000.0,29,27,27,376.17207467481643,10070.647060860001,154.83163086000002,85.99895536004391
2020-11-16,10000.0,29,27,27,373.5555168651868,9929.244294810002,154.54938980999998,156.7546605500437
2020-12-16,10000.0,29,27,27,376.17609853889047,10042.28630757,154.77502257000003,114.46835298004316
2021-01-04,10000.0,29,27,27,374.6099389992608,9972.09118755,154.63491255000002,142.37716543004115
2021-02-02,10000.0,29,27,27,375.6435987196312,9957.123847619998,154.60503762000002,185.25331781004508
2021-03-01,10000.0,29,27,27,377.231604363335,10007.639873009999,154.70586800999996,177.61344480004573
2021-04-01,10000.0,29,27,27,376.94864610370536,10051.188516449998,154.79279144999998,126.42492835004543
2021-05-05,10000.0,29,27,27,375.0527751240757,10014.537079889998,154.71963489,111.88784846004364
2021-06-01,10000.0,29,27,27,374.51436475777933,9990.416905829998,154.67149083,121.47094263004226
2021-07-04,10000.0,29,27,27,374.86929417148303,10048.000563269998,154.78642827,73.47037936004267
2021-08-01,10000.0,27,25,25,402.93881517440167,9981.87053228,144.67439228,91.59984708004248
2021-09-01,10000.0,27,25,25,403.66399388320167,9956.23658171,144.62322671,135.3632653700447
2021-10-03,10000.0,27,26,26,389.821664052694,10009.908005260002,149.72037525999997,125.45526011004227
2021-11-01,10000.0,27,27,27,375.0168614855571,9997.89556329,154.68641828999998,127.55969682004326
2021-12-01,10000.0,27,26,26,389.52152680077086,9984.123679539998,149.66890954000002,143.43601728004353
2022-01-02,10000.0,27,27,27,375.6828154548165,9948.983539499997,154.58878950000002,194.4524777800434
2022-02-01,10000.0,26,26,26,392.0943260684632,10058.850104079997,149.81806408,135.6023737000428
2022-03-01,10000.0,26,26,26,389.83086052692477,10011.0508564,149.72265639999998,124.55151730004144
2022-04-03,10000.0,26,26,26,389.4058275884632,9927.692898250001,149.55627324999998,196.8586190500427
2022-05-08,10000.0,26,26,26,392.1868699634632,9994.449439839998,149.68951983999995,202.4091792100441
2022-06-01,10000.0,26,26,26,392.40035304654015,10031.97305227,149.76441727000002,170.43612694004423
2022-07-03,10000.0,26,26,26,391.17062026692474,10050.860171109998,149.80211611000001,119.5759558300428
2022-08-01,10000.0,24,24,24,421.6489981595851,9983.617364009997,139.68785901,135.95859182004466
2022-09-01,10000.0,24,24,24,422.33160799250186,10007.326512660002,139.73518265999996,128.6320791600446
2022-10-02,10000.0,24,24,24,422.0263366316685,10012.950543270003,139.74640827000002,115.6815358900439
2022-11-01,10000.0,24,24,24,421.48673066208517,9970.494625919999,139.66166592,145.18690997004342
2022-12-01,10000.0,24,24,24,422.7161212487518,9999.677430029999,139.71991503,145.50947994004207
2023-01-02,10000.0,24,24,24,422.7295616641684,9965.6625711,139.65202109999998,179.84690884004078
2023-02-01,10000.0,26,26,26,391.53257341692466,9882.079102749998,149.46522775,297.7678060900415
2023-03-01,10000.0,26,26,26,396.0679925419247,10102.609272729998,149.90540773,195.1585333600433
2023-04-02,10000.0,26,26,26,392.1214820523094,9978.018448449999,149.65672345,217.14008491004347
2023-05-01,10000.0,26,25,25,408.6856033964017,9980.076055489999,144.67081049,237.064029420042
2023-06-01,10000.0,26,26,26,393.7332319007709,10035.451730740002,149.77136073999998,201.61229868004295
2023-07-04,10000.0,26,26,26,392.3697037953863,9980.79537622,149.66226622000002,220.81692246004621
2023-08-01,10000.0,25,25,25,408.8326768984018,9971.75529719,144.65420219,249.06162527004608
2023-09-03,10000.0,25,25,25,409.96246501080185,10002.211277570002,144.71499257000002,246.8503477000432
2023-10-01,10000.0,25,25,25,409.8740139080017,9896.0764967,144.5031467,350.7738510000459
2023-11-01,10000.0,25,25,25,414.0309540400018,10121.04774611,144.95219110999997,229.7261048900436
2023-12-03,10000.0,25,25,25,409.18904419560175,9931.595107129999,144.57404213,298.1309977600445
2024-01-02,10000.0,25,25,25,411.9252399104018,9948.928349419999,144.60863941999997,349.20264834004496
2024-02-01,10000.0,25,25,25,413.96810593360175,9967.725243169998,144.64615816999998,381.47740517004394
2024-03-03,10000.0,25,25,25,415.25909620680176,9915.565116140002,144.54204614,465.9122890300456
2024-04-01,10000.0,25,25,25,418.63649156120186,9995.564695939998,144.70172594000002,470.34759309004534
2024-05-01,10000.0,25,25,25,418.8139037236018,9995.364195740001,144.70132574000002,474.98339735004606
2024-06-02,10000.0,25,25,25,418.99933589400183,10058.27113349,144.82688848999996,416.7122638600443
2024-07-01,10000.0,25,25,25,416.6684905544018,10058.56185878,144.82746878000003,358.15040508004216
2024-08-01,10000.0,24,24,24,431.58960021166837,9871.708177380002,139.46448737999998,486.4422277000401
2024-09-01,10000.0,24,24,24,436.935092820835,9929.62266015,139.58008515000003,556.8195675500392
2024-10-01,10000.0,24,24,24,439.8674819812516,10037.481742739998,139.79537274000003,519.3378248100388
2024-11-03,10000.0,24,24,24,438.30574270041825,10028.18855847,139.77682347,491.14926634003575
2024-12-01,10000.0,24,24,24,437.1312194308348,10075.59683076,139.87145075999996,415.5524355800361
2025-01-02,10000.0,24,24,24,433.98135148250145,9869.34227502,139.45976501999996,546.2101605600353
2025-02-02,10000.0,27,27,27,390.6003763170383,10111.418776530001,154.91301153000003,434.7913840300358
2025-03-02,10000.0,27,27,27,386.4737549640754,10057.805023050001,154.80599805000003,376.98636098003476
2025-04-03,10000.0,27,27,27,384.3328281844457,9964.70275518,154.62016518000001,412.28360580003175
2025-05-04,10000.0,27,27,27,385.6401335481493,9956.37197187,154.60353687,455.9116339300303
2025-06-01,10000.0,27,27,27,387.255986441853,9917.454883049999,154.52585804999998,538.4567508800319
2025-07-01,10000.0,27,27,27,390.31321299555674,10091.30860647,154.87287147,447.1481444100325
2025-08-03,10000.0,27,27,26,386.9314127559271,9720.736591809999,149.14318681000003,726.4115526000304
2025-09-01,10000.0,27,27,26,397.27450194814924,10052.78497303,149.80595803,673.6265795700285
