date,symbol,holding_name,action,shares,price,value,fee,fixed_fee,bps_fee
2016-06-01,PHDC,Palm Hills Development Company,BUY,165.0,2.311155,381.340575,5.76268115,5.0,0.76268115
2016-06-01,RAYA,Raya Holding For Financial Investments,BUY,3813.0,0.10005,381.49065,5.7629813,5.0,0.7629813000000001
2016-06-01,TMGH,T M G Holding,BUY,65.0,5.832915,379.139475,5.75827895,5.0,0.75827895
2016-06-01,VLMR,Egyptian Kuwaiti Holding,BUY,657.0,0.58029,381.25052999999997,5.76250106,5.0,0.76250106
2016-07-10,ABUK,Abou Kir Fertilizers,BUY,54.0,7.333665,396.01791,5.79203582,5.0,0.79203582
2016-07-10,ADIB,Abu Dhabi Islamic Bank- Egypt,BUY,161.0,2.46123,396.25803,5.7925160600000005,5.0,0.7925160600000001
2016-07-10,AMOC,Alexandria Mineral Oils Company,BUY,189.0,2.091045,395.20750499999997,5.79041501,5.0,0.7904150099999999
2016-07-10,ARCC,Arabian Cement Company,BUY,56.0,6.993495,391.63572,5.78327144,5.0,0.78327144
2016-07-10,CCAP,QALA For Financial Investments,BUY,389.0,1.02051,396.97839,5.79395678,5.0,0.79395678
2016-07-10,COMI,Commercial International Bank-Egypt (CIB),BUY,24.0,16.178085,388.27404,5.77654808,5.0,0.7765480800000001
2016-07-10,EAST,Eastern Company,BUY,133.0,2.971485,395.20750499999997,5.79041501,5.0,0.7904150099999999
2016-07-10,EFID,Edita Food Industries (EDITA),BUY,26.0,14.997494999999999,389.93487,5.77986974,5.0,0.77986974
2016-07-10,EGAL,Egypt Aluminum,BUY,127.0,3.12156,396.43812,5.79287624,5.0,0.7928762400000001
2016-07-10,EGCH,Egyptian Chemical Industries (KIMA),BUY,141.0,2.8114049999999997,396.408105,5.79281621,5.0,0.79281621
2016-07-10,EMFD,Emaar Misr for Development,BUY,166.0,2.3811899999999997,395.27753999999993,5.79055508,5.0,0.7905550799999999
2016-07-10,ETEL,Telecom Egypt,BUY,46.0,8.554275,393.49665000000005,5.7869933,5.0,0.7869933000000001
