date,turnover_value,turnover_pct,rebalance_fees,cash_balance
2018-03-04,0.0,0.0,0.0,435250.2383342902
2018-04-11,0.0,0.0,0.0,445250.2383342902
2018-05-02,0.0,0.0,0.0,455250.2383342902
2018-06-14,0.0,0.0,0.0,465250.2383342902
2018-07-09,0.0,0.0,0.0,475250.2383342902
2018-08-07,0.0,0.0,0.0,485250.2383342902
2018-09-04,0.0,0.0,0.0,495250.2383342902
2018-10-03,0.0,0.0,0.0,505250.2383342902
2018-11-01,0.0,0.0,0.0,515250.2383342902
2018-12-03,0.0,0.0,0.0,525250.2383342902
2019-01-06,0.0,0.0,0.0,535250.2383342902
2019-02-05,0.0,0.0,0.0,545250.2383342902
2019-04-17,0.0,0.0,0.0,555250.2383342902
2019-05-21,0.0,0.0,0.0,565250.2383342902
2019-07-09,0.0,0.0,0.0,575250.2383342902
2019-08-21,0.0,0.0,0.0,585250.2383342902
2019-09-02,0.0,0.0,0.0,595250.2383342902
2019-10-24,0.0,0.0,0.0,605250.2383342902
2019-11-03,0.0,0.0,0.0,615250.2383342902
2019-12-03,0.0,0.0,0.0,625250.2383342902
2020-01-02,0.0,0.0,0.0,635250.2383342902
2020-02-05,0.0,0.0,0.0,645250.2383342902
2020-03-03,0.0,0.0,0.0,655250.2383342902
2020-04-02,0.0,0.0,0.0,665250.2383342902
2020-05-07,0.0,0.0,0.0,675250.2383342902
2020-06-04,0.0,0.0,0.0,685250.2383342902
2020-07-06,0.0,0.0,0.0,695250.2383342902
2020-09-03,0.0,0.0,0.0,705250.2383342902
2020-10-04,0.0,0.0,0.0,715250.2383342902
2020-11-16,0.0,0.0,0.0,725250.2383342902
2020-12-16,0.0,0.0,0.0,735250.2383342902
2021-01-04,0.0,0.0,0.0,745250.2383342902
2021-02-02,0.0,0.0,0.0,755250.2383342902
2021-03-01,0.0,0.0,0.0,765250.2383342902
2021-04-01,0.0,0.0,0.0,775250.2383342902
2021-05-05,0.0,0.0,0.0,785250.2383342902
2021-06-01,0.0,0.0,0.0,795250.2383342902
2021-07-04,0.0,0.0,0.0,805250.2383342902
2021-08-01,0.0,0.0,0.0,815250.2383342902
2021-09-01,0.0,0.0,0.0,825250.2383342902
2021-10-03,0.0,0.0,0.0,835250.2383342902
2021-11-01,0.0,0.0,0.0,845250.2383342902
2021-12-01,218137.36675500002,0.25091604267765777,436.27473351000003,227711.24104930033
2022-01-02,346612.50705,0.3599413262734608,693.2250141000001,355933.69886135036
2022-02-01,0.0,0.0,0.0,10000.2225208304
2022-03-01,503399.61428000004,0.5889191635415159,1006.7992285600001,512394.89438897045
2022-04-03,353828.747125,0.38322553922958225,707.65749425,363128.6351956305
2022-05-08,180087.32129500003,0.20496214426620663,360.1746425900001,189734.3056424405
2022-06-01,212356.76850000003,0.26594170734924527,424.7135370000001,221938.74056112056
2022-07-03,0.0,0.0,0.0,10006.204487240582
2022-08-01,0.0,0.0,0.0,10010.124081060581
2022-09-01,334792.63994,0.40227193174158354,669.58527988,344128.03076598066
2022-10-02,715247.37741,0.8669657392932605,1430.49475482,723822.8537375906
2022-11-01,515919.95098,0.5984225892119769,1031.8399019600001,524892.9595933408
2022-12-01,4326.95544,0.004550773155534167,8.65391088,14318.61209428082
2023-01-02,1110603.310555,0.889161600848648,2221.2066211100005,1118383.289951451
2023-02-01,0.0,0.0,0.0,10013.437376650749
2023-03-01,1355223.9190649998,0.9840241478650987,2710.4478381299996,1362526.0237375607
2023-04-02,685277.4798549999,0.5127822401075488,1370.55495971,693918.2078521707
2023-05-01,751750.6466450001,0.5038698545968089,1503.5012932900001,760252.2185268808
2023-06-01,239037.78132,0.1520094974740569,478.07556264000004,248573.71183759088
2023-07-04,6843.806385000001,0.0044844551442499055,13.687612770000001,16840.4920065509
2023-08-01,1264526.930245,0.7877176143169909,2529.05386049,1271998.3162829208
2023-09-03,0.0,0.0,0.0,10000.238063160796
2023-10-01,6060.398284999999,0.0037089536814587,12.12079657,16050.971493950796
2023-11-01,114955.79335,0.061483246664263747,229.91158670000004,124727.87479326081
2023-12-03,386771.41755,0.2036229569477359,773.5428351,396000.80309936084
2024-01-02,324333.43216,0.17094841554357054,648.6668643200001,333685.09686242085
2024-02-01,195749.306385,0.09635918189874326,391.49861277,205386.64957575087
2024-03-03,239074.6029,0.11156373303699303,478.1492058,248599.3172084609
2024-04-01,263139.96420000005,0.1241933924300532,526.2799284000001,272614.327091481
2024-05-01,196828.78637500003,0.10808291962898604,393.65757275000004,206444.84491409108
2024-06-02,26.276855,1.3326486769183867e-05,0.052553710000000003,10049.451433611086
2024-07-01,1363951.683,0.6760855264888402,2727.903366,1371228.8225682112
2024-08-01,0.0,0.0,0.0,10056.52842165134
2024-09-01,0.0,0.0,0.0,10002.377987471338
2024-10-01,0.0,0.0,0.0,10005.49062051134
2024-11-03,1734146.71289,0.7626569812357938,3468.2934257800002,1740682.9726137314
2024-12-01,96226.2628,0.042330078309657855,192.4525256,106034.06611795144
2025-01-02,862212.8179299999,0.3391033121481464,1724.42563586,870508.3157172914
2025-02-02,0.0,0.0,0.0,10003.75264939147
2025-03-02,760437.820885,0.30893398087243984,1520.8756417700001,768923.3543351814
2025-04-03,1625932.44709,0.5747862442106261,3251.86489418,1632685.9451662516
2025-05-04,0.0,0.0,0.0,10021.016919381454
2025-06-01,3066110.05806,0.9962504940752549,6132.22011612,3069983.6818780615
2025-07-01,0.0,0.0,0.0,3079983.6818780615
2025-08-03,0.0,0.0,0.0,10001.779314951536
2025-09-01,3000452.0035099997,0.9931220623121615,6000.90400702,3004458.3774033515
2025-10-01,2965351.14272,0.9961387708463381,5930.70228544,2969431.3054957516
2025-11-02,3866948.2986300006,0.996909407201079,7733.896597260002,3869268.1739138323
2025-12-01,0.0,0.0,0.0,10004.900808432605
2026-01-04,4263926.3902900005,0.994604593720644,8527.85278058,4265402.560996913
2026-02-01,2766252.1820000005,0.5791184928934723,5532.504364000001,2770721.4797032336
2026-03-01,3785197.59443,0.7134639945426726,7570.39518886,3787635.8311087536
2026-04-01,1062615.8263,0.19606666718371302,2125.2316526000004,1070515.074438874
