date,selected_count,target_denominator,turnover_value,turnover_pct,rebalance_fees,cash_balance
2019-02-05,10,10,109693.96957499998,0.9972179052272726,269.38793915,36.6424858500086
2019-04-17,10,10,54297.61318500001,0.4486907575689286,148.59522637,734.5307344800101
2019-05-21,10,10,52187.89477,0.4397816866218739,149.37578954,49.52362494000954
2019-07-09,10,10,35989.22514,0.27393608396004676,101.97845028,1319.2727146600137
2019-08-21,10,10,63029.18715499999,0.46005264438152604,166.05837430999998,47.39251535001904
2019-09-02,10,10,91967.143405,0.6188728912417919,228.93428681,65.66708354002594
2019-10-24,10,10,61934.560955,0.4338810743457291,163.86912191000002,8.92314663002253
2019-11-03,10,10,68072.835505,0.4389511221726293,186.14567101,57.733490620026714
2019-12-03,10,10,66940.90977,0.4332386502768799,183.88181953999998,60.843661080021775
2020-01-02,10,10,102939.14528999999,0.617102705837074,255.87829058,62.91822050003066
2020-02-05,10,10,165770.86121,0.9754609786501424,371.54172242,6.073468080053772
2020-03-03,10,10,42626.726325,0.2723650435863311,125.25345265000001,26.85911043005217
2020-04-02,10,10,87210.31284,0.615537327271597,209.42062568,28.155764750072194
2020-05-07,10,10,166459.39324999996,1.0427804492957653,377.9187865,20.50966825008436
2020-06-04,10,10,72557.17949499999,0.4368697979852121,190.11435898999997,15.129164260091784
2020-07-06,10,10,159161.133545,0.7961923418628742,353.32226709,15.138722170093388
2020-09-03,10,10,150985.11819999997,0.6545840466500269,341.97023640000003,1.278325770108495
2020-10-04,10,10,109315.86463000001,0.46674123228714554,268.63172926,28.73107651011742
2020-11-16,10,10,123225.75453,0.4884367503713757,286.45150906000003,11.609107450139163
2020-12-16,10,10,112382.49007,0.4096004994244977,259.76498014000003,75.51528731014128
2021-01-04,10,10,121971.12835000001,0.43431522987636995,283.94225670000003,73.88988061013856
2021-02-02,10,10,135456.13855499998,0.41107305234957264,300.91227711,8.14195850014221
2021-03-01,10,10,267877.57938999997,0.824196882366831,580.75515878,14.670329720131491
2021-04-01,10,10,138901.73330000002,0.46023070871547694,317.8034666,0.8184031201477069
2021-05-05,10,10,93318.129995,0.2977083256554218,231.63625998999999,2.5355081301640894
2021-06-01,10,10,75791.98662,0.23615302963326126,181.58397324,9.817984890167281
2021-07-04,10,10,170019.51000500002,0.5066759895058816,385.03902001000006,19.761589880188694
2021-08-01,10,10,215659.22317,0.6126514491746395,471.31844634,74.27587354019852
2021-09-01,10,10,21724.878184999998,0.057961087027315936,73.44975637,53.59616217019948
2021-10-03,10,10,165811.70383,0.45455739494856245,361.62340766,1.4093045102185897
2021-11-01,10,10,102994.0778,0.2739717097318951,245.98815559999997,68.3265189102267
2021-12-01,10,10,265567.14577999996,0.6712167822642736,571.13429156,32.85098735023348
2022-01-02,10,10,114787.33768,0.2684682312784505,259.57467536,0.5250719902396668
