rebalance_date,feature,training_months,training_rows,monthly_ic_count,raw_ic_mean,weight,warmup_complete
2015-02-01,rel_mom_21,0,0,0,0.0,0.0,False
2015-02-01,rel_mom_63,0,0,0,0.0,0.0,False
2015-02-01,rel_mom_126,0,0,0,0.0,0.0,False
2015-02-01,ratio_vs_sma50,0,0,0,0.0,0.0,False
2015-02-01,ratio_vs_sma200,0,0,0,0.0,0.0,False
2015-02-01,sma50_vs_sma200,0,0,0,0.0,0.0,False
2015-02-01,vol_adj_rel_mom_63,0,0,0,0.0,0.0,False
2015-02-01,volume_ratio_20_63,0,0,0,0.0,0.0,False
2015-02-01,mom63_volume_score,0,0,0,0.0,0.0,False
2015-02-01,down_day_excess_63,0,0,0,0.0,0.0,False
2015-02-01,residual_strength_21_126b,0,0,0,0.0,0.0,False
2015-02-01,residual_strength_63_126b,0,0,0,0.0,0.0,False
2015-02-01,residual_strength_126_126b,0,0,0,0.0,0.0,False
2015-03-01,rel_mom_21,0,0,0,0.0,0.0,False
2015-03-01,rel_mom_63,0,0,0,0.0,0.0,False
2015-03-01,rel_mom_126,0,0,0,0.0,0.0,False
2015-03-01,ratio_vs_sma50,0,0,0,0.0,0.0,False
2015-03-01,ratio_vs_sma200,0,0,0,0.0,0.0,False
2015-03-01,sma50_vs_sma200,0,0,0,0.0,0.0,False
2015-03-01,vol_adj_rel_mom_63,0,0,0,0.0,0.0,False
2015-03-01,volume_ratio_20_63,0,0,0,0.0,0.0,False
2015-03-01,mom63_volume_score,0,0,0,0.0,0.0,False
2015-03-01,down_day_excess_63,0,0,0,0.0,0.0,False
2015-03-01,residual_strength_21_126b,0,0,0,0.0,0.0,False
2015-03-01,residual_strength_63_126b,0,0,0,0.0,0.0,False
2015-03-01,residual_strength_126_126b,0,0,0,0.0,0.0,False
2015-04-01,rel_mom_21,0,0,0,0.0,0.0,False
2015-04-01,rel_mom_63,0,0,0,0.0,0.0,False
2015-04-01,rel_mom_126,0,0,0,0.0,0.0,False
2015-04-01,ratio_vs_sma50,0,0,0,0.0,0.0,False
2015-04-01,ratio_vs_sma200,0,0,0,0.0,0.0,False
2015-04-01,sma50_vs_sma200,0,0,0,0.0,0.0,False
2015-04-01,vol_adj_rel_mom_63,0,0,0,0.0,0.0,False
2015-04-01,volume_ratio_20_63,0,0,0,0.0,0.0,False
2015-04-01,mom63_volume_score,0,0,0,0.0,0.0,False
2015-04-01,down_day_excess_63,0,0,0,0.0,0.0,False
2015-04-01,residual_strength_21_126b,0,0,0,0.0,0.0,False
2015-04-01,residual_strength_63_126b,0,0,0,0.0,0.0,False
2015-04-01,residual_strength_126_126b,0,0,0,0.0,0.0,False
2015-05-03,rel_mom_21,0,0,0,0.0,0.0,False
2015-05-03,rel_mom_63,0,0,0,0.0,0.0,False
2015-05-03,rel_mom_126,0,0,0,0.0,0.0,False
2015-05-03,ratio_vs_sma50,0,0,0,0.0,0.0,False
2015-05-03,ratio_vs_sma200,0,0,0,0.0,0.0,False
2015-05-03,sma50_vs_sma200,0,0,0,0.0,0.0,False
2015-05-03,vol_adj_rel_mom_63,0,0,0,0.0,0.0,False
2015-05-03,volume_ratio_20_63,0,0,0,0.0,0.0,False
2015-05-03,mom63_volume_score,0,0,0,0.0,0.0,False
2015-05-03,down_day_excess_63,0,0,0,0.0,0.0,False
2015-05-03,residual_strength_21_126b,0,0,0,0.0,0.0,False
2015-05-03,residual_strength_63_126b,0,0,0,0.0,0.0,False
2015-05-03,residual_strength_126_126b,0,0,0,0.0,0.0,False
2015-06-01,rel_mom_21,1,20,0,0.0,0.0,False
2015-06-01,rel_mom_63,1,20,0,0.0,0.0,False
2015-06-01,rel_mom_126,1,20,0,0.0,0.0,False
2015-06-01,ratio_vs_sma50,1,20,0,0.0,0.0,False
2015-06-01,ratio_vs_sma200,1,20,0,0.0,0.0,False
2015-06-01,sma50_vs_sma200,1,20,0,0.0,0.0,False
2015-06-01,vol_adj_rel_mom_63,1,20,0,0.0,0.0,False
2015-06-01,volume_ratio_20_63,1,20,0,0.0,0.0,False
2015-06-01,mom63_volume_score,1,20,0,0.0,0.0,False
2015-06-01,down_day_excess_63,1,20,0,0.0,0.0,False
2015-06-01,residual_strength_21_126b,1,20,0,0.0,0.0,False
2015-06-01,residual_strength_63_126b,1,20,0,0.0,0.0,False
2015-06-01,residual_strength_126_126b,1,20,0,0.0,0.0,False
2015-07-02,rel_mom_21,2,40,0,0.0,0.0,False
2015-07-02,rel_mom_63,2,40,0,0.0,0.0,False
2015-07-02,rel_mom_126,2,40,0,0.0,0.0,False
2015-07-02,ratio_vs_sma50,2,40,0,0.0,0.0,False
2015-07-02,ratio_vs_sma200,2,40,0,0.0,0.0,False
2015-07-02,sma50_vs_sma200,2,40,0,0.0,0.0,False
2015-07-02,vol_adj_rel_mom_63,2,40,0,0.0,0.0,False
2015-07-02,volume_ratio_20_63,2,40,0,0.0,0.0,False
2015-07-02,mom63_volume_score,2,40,0,0.0,0.0,False
2015-07-02,down_day_excess_63,2,40,0,0.0,0.0,False
2015-07-02,residual_strength_21_126b,2,40,0,0.0,0.0,False
2015-07-02,residual_strength_63_126b,2,40,0,0.0,0.0,False
2015-07-02,residual_strength_126_126b,2,40,0,0.0,0.0,False
2015-08-03,rel_mom_21,3,57,0,0.0,0.0,False
2015-08-03,rel_mom_63,3,57,0,0.0,0.0,False
2015-08-03,rel_mom_126,3,57,0,0.0,0.0,False
2015-08-03,ratio_vs_sma50,3,57,0,0.0,0.0,False
2015-08-03,ratio_vs_sma200,3,57,0,0.0,0.0,False
2015-08-03,sma50_vs_sma200,3,57,0,0.0,0.0,False
2015-08-03,vol_adj_rel_mom_63,3,57,0,0.0,0.0,False
2015-08-03,volume_ratio_20_63,3,57,0,0.0,0.0,False
