stock_close,stock_volume,benchmark_close,symbol,stock_ret,benchmark_ret,excess_ret,ratio,rel_mom_21,rel_mom_63,rel_mom_126,rel_mom_252,ratio_sma50,ratio_sma200,ratio_vs_sma50,ratio_vs_sma200,sma50_vs_sma200,ratio_breakout_20,ratio_breakout_63,ratio_breakout_126,vol_adj_rel_mom_63,volume_ratio_20_63,mom63_volume_score,down_day_excess_63,down_day_excess_126,beta_252,corr_252,residual_ret_126b,residual_strength_21_126b,residual_strength_63_126b,residual_strength_126_126b,stock_fwd_21,benchmark_fwd_21,excess_fwd_21,outperform_fwd_21,stock_fwd_63,benchmark_fwd_63,excess_fwd_63,outperform_fwd_63,stock_fwd_126,benchmark_fwd_126,excess_fwd_126,outperform_fwd_126,future_63d_excess,target_end_date_63,open,close,median_daily_value,median_daily_volume,coverage_ratio,holding_name,rebalance_date,signal_date,rel_mom_21_rank,rel_mom_63_rank,rel_mom_126_rank,ratio_vs_sma50_rank,ratio_vs_sma200_rank,sma50_vs_sma200_rank,vol_adj_rel_mom_63_rank,volume_ratio_20_63_rank,mom63_volume_score_rank,down_day_excess_63_rank,residual_strength_21_126b_rank,residual_strength_63_126b_rank,residual_strength_126_126b_rank,ic_score,hand_signal_score,rank,selected,target_weight,training_months,weight_abs_sum
5.9,5229455,14.1,EGCH,0.03327495621716303,0.005706134094151327,0.027568822123011705,0.4184397163120568,0.5728660402491272,0.036230429546366905,0.18458494027242156,0.07636379856371844,0.3349655961436128,0.33175738052367537,0.24920207068864286,0.26128231315172035,0.009670366985877754,0.014938886373925042,-0.04564255729695876,-0.06598277608915892,0.6535866190060453,1.234327776984727,0.04472022556116883,0.00909111234890534,0.019506498067477226,0.5097302066080242,0.23226039123866793,0.02945698016591573,0.4744818426054832,0.09977643841359923,0.37754070261657946,-0.20677966101694922,0.08439716312056733,-0.29117682413751655,False,-0.4152542372881356,-0.17517730496453898,-0.24007693232359661,False,-0.452542372881356,-0.1574468085106382,-0.2950955643707178,False,-0.24007693232359661,2020-06-22,5.71,5.9,9935361.959999999,2020836.0,1.0,Egyptian Chemical Industries (KIMA),2019-02-05,2019-01-08,0.9629629629629629,0.5555555555555556,0.5769230769230769,0.9259259259259259,0.6923076923076923,0.46153846153846156,0.5555555555555556,0.9259259259259259,0.6296296296296297,0.4444444444444444,0.9615384615384616,0.6538461538461539,0.6153846153846154,0.4594128559545541,100.0,1,True,0.1,36,0.9999999999999999
7.38,10604733,14.1,ORHD,0.013736263736263687,0.005706134094151327,0.00803012964211236,0.5234042553191489,0.6319193729003358,0.8117839607201309,4.914893617021277,2.839841837695349,0.38810407603082125,0.21165854059476744,0.3486182898980499,1.4728709451003765,0.8336329587279403,0.007984568622866561,0.007984568622866561,0.007984568622866561,14.2194887549835,1.6382110309598303,1.32987343920798,0.013048902723782759,0.02360277703496188,0.633193033217193,0.24897948377298382,0.008983510297440213,0.5159753156975265,0.6440070751454403,1.996360055341549,-0.046070460704607075,0.08439716312056733,-0.1304676238251744,False,-0.4932249322493225,-0.17517730496453898,-0.31804762728478353,False,-0.20189701897018975,-0.1574468085106382,-0.044450210459551553,False,-0.31804762728478353,2020-06-22,7.28,7.38,19100056.05,3297615.0,1.0,Orascom Development Egypt,2019-02-05,2019-01-08,1.0,0.9629629629629629,1.0,0.9629629629629629,0.9615384615384616,1.0,0.9629629629629629,1.0,0.9629629629629629,0.6666666666666666,1.0,0.9615384615384616,1.0,0.4400498502047761,100.0,2,True,0.1,36,0.9999999999999999
3.77,19494745,14.1,CCAP,0.013440860215053752,0.005706134094151327,0.007734726120902424,0.2673758865248227,0.44519594139876784,2.2393617021276597,2.5735815602836882,0.44872294071292806,0.18060781576857163,0.10685242082382064,0.4804225685749639,1.5022913328812155,0.6902547867058588,-0.024822695035461084,-0.024822695035461084,-0.024822695035461084,32.41950692760583,0.6951168691015231,1.5566180951688364,0.0260358845256846,0.024903857928278206,0.6120720456688649,0.26261639023998423,0.009250826058151973,0.376604455087631,1.2987364522524034,1.5243480717291231,-0.31564986737400524,0.08439716312056733,-0.4000470304945726,False,-0.6286472148541115,-0.17517730496453898,-0.4534699098895725,False,-0.6445623342175066,-0.1574468085106382,-0.48711552570686845,False,-0.4534699098895725,2020-06-22,3.72,3.77,74562820.66,21406783.0,1.0,QALA For Financial Investments,2019-02-05,2019-01-08,0.9259259259259259,1.0,0.9615384615384616,1.0,1.0,0.9615384615384616,1.0,0.7037037037037037,1.0,0.9629629629629629,0.9230769230769231,1.0,0.9615384615384616,0.43097523244781794,85.0,3,True,0.1,36,0.9999999999999999
12.94,687240,14.1,ETEL,0.02454473475851149,0.005706134094151327,0.01883860066436016,0.9177304964539007,0.23000802284907396,0.04665136271896708,0.11702748692725207,-0.029593645969026028,0.8032490281447784,0.8619118495456086,0.14252300880280444,0.0647614334780513,-0.06806127730087097,-0.018293098745226444,-0.018293098745226444,-0.018293098745226444,1.3095435019913406,0.5398339589176636,0.0251839898254839,0.011631331879233407,0.01691681858497013,0.6428395636707637,0.4030745138611219,0.020132318151342865,0.21143285831626935,0.08009927923956586,0.23471229630010793,-0.12982998454404948,0.08439716312056733,-0.2142271476646168,False,-0.05177743431221016,-0.17517730496453898,0.12339987065232882,True,-0.16769706336939727,-0.1574468085106382,-0.010250254858759078,False,0.12339987065232882,2020-06-22,12.63,12.94,7278327.1,682130.0,1.0,Telecom Egypt,2019-02-05,2019-01-08,0.8518518518518519,0.6296296296296297,0.46153846153846156,0.8888888888888888,0.5384615384615384,0.34615384615384615,0.6296296296296297,0.5185185185185185,0.5925925925925926,0.5925925925925926,0.7692307692307693,0.6153846153846154,0.5384615384615384,0.4260660550635746,85.0,4,True,0.1,36,0.9999999999999999
0.27,1495320,14.1,RAYA,0.0,0.005706134094151327,-0.005706134094151327,0.01914893617021277,0.35045592705167206,0.1599836333878888,0.2674772036474167,0.5663829787234045,0.017075489367650246,0.015587821604784193,0.12142825062985874,0.2284549217791667,0.09543782323050576,-0.05319148936170204,-0.08897485493230173,-0.30546290971822876,3.005279448052075,0.3499646048912967,0.05598860904766657,0.014504040839661307,0.03237525315749514,0.4609488757359772,0.17122797872112852,-0.00395454772153822,0.3286244097701632,0.18428587373970934,0.563172707843838,-0.07407407407407418,0.08510638297872353,-0.1591804570527977,False,0.0,-0.1914893617021276,0.1914893617021276,True,4.074074074074074,-0.20425531914893613,4.278329393223011,True,0.1914893617021276,2020-07-16,0.27,0.27,272159.0,1271780.0,1.0,Raya Holding For Financial Investments,2019-02-05,2019-01-08,0.8888888888888888,0.7407407407407407,0.6538461538461539,0.8148148148148148,0.6538461538461539,0.6153846153846154,0.7037037037037037,0.18518518518518517,0.6666666666666666,0.7407407407407407,0.8461538461538461,0.7692307692307693,0.6923076923076923,0.3971719627368402,85.0,5,True,0.1,36,0.9999999999999999
7.39,1471592,14.1,ORWE,0.0,0.005706134094151327,-0.005706134094151327,0.524113475177305,0.21472935326696208,-0.2694878553944643,-0.42272763035146277,-0.15138658023049645,0.5275171722808897,0.7152561237055379,-0.006452296308891103,-0.2672366473955894,-0.26247793650759155,-0.3138878143133461,-0.3138878143133461,-0.4659375218770362,-3.0594996669066954,1.179124702398756,-0.3177597872920767,0.004600685631580733,0.015275222862940191,0.5155357285536456,0.20770964909419326,-0.003697438063205538,0.35219014637529583,-0.15864929188006127,-0.27601534219830504,-0.06630581867388352,0.08439716312056733,-0.15070298179445085,False,-0.2733423545331528,-0.17517730496453898,-0.09816504956861383,False,-0.03518267929634644,-0.1574468085106382,0.12226412921429175,True,-0.09816504956861383,2020-06-22,7.39,7.39,4369178.1,644502.0,1.0,Oriental Weavers,2019-02-05,2019-01-08,0.8148148148148148,0.2222222222222222,0.11538461538461539,0.5185185185185185,0.23076923076923078,0.07692307692307693,0.3333333333333333,0.8888888888888888,0.1111111111111111,0.25925925925925924,0.8846153846153846,0.3076923076923077,0.15384615384615385,0.37213185101058294,0.0,6,True,0.1,36,0.9999999999999999
6.65,161454,14.1,ISPH,0.0,0.005706134094151327,-0.005706134094151327,0.4716312056737589,0.1858842370167011,0.39890611852386115,,,0.41801515714840265,,0.12826340769820832,,,-0.049623995806724275,-0.08958752337602749,,7.898605528679369,0.2574756416214147,0.10270860881363925,0.02197432371385991,0.02197432371385991,,,-0.004880508146236704,,,,0.069172932330827,0.08439716312056733,-0.015224230789740334,False,-0.04060150375939853,-0.17517730496453898,0.13457580120514046,True,-0.3984962406015038,-0.1574468085106382,-0.2410494320908656,False,0.13457580120514046,2020-06-22,6.65,6.65,1980660.0,310094.0,1.0,Ibnsina Pharma,2019-02-05,2019-01-08,0.7777777777777778,0.8888888888888888,0.5,0.8518518518518519,0.5,0.5,0.9259259259259259,0.037037037037037035,0.8518518518518519,0.8888888888888888,0.5,0.5,0.5,0.35748637980357917,45.0,7,True,0.1,36,0.9999999999999999
8.77,7602993,14.1,HRHO,0.03176470588235292,0.005706134094151327,0.02605857178820159,0.6219858156028368,-0.0638607795652425,-0.052584468496646,-0.25340217298105083,0.13324448601044314,0.6216834050208261,0.7068908352888313,0.00048643824102168054,-0.12011051133701967,-0.12053831513205293,-0.4409483602203149,-0.4409483602203149,-0.4409483602203149,-0.4371122131144517,0.4399951787688671,-0.023136912616647617,0.008833815380042739,0.004185507024882867,0.6944895287647014,0.22951323582343847,0.027406772447848247,0.2786610691120907,0.2704108567012523,0.10381831329120114,0.17445838084378584,0.08439716312056733,0.09006121772321851,True,-0.20068415051311284,-0.17517730496453898,-0.025506845548573853,False,-0.09350057012542756,-0.1574468085106382,0.06394623838521063,True,-0.025506845548573853,2020-06-22,8.5,8.77,17802992.759999998,2083905.0,1.0,EFG Holding,2019-02-05,2019-01-08,0.25925925925925924,0.48148148148148145,0.2692307692307692,0.5555555555555556,0.34615384615384615,0.2692307692307692,0.5185185185185185,0.3333333333333333,0.48148148148148145,0.4074074074074074,0.8076923076923077,0.8461538461538461,0.4230769230769231,0.33990724673126227,40.0,8,True,0.1,36,0.9999999999999999
1.67,175024,14.1,VLMR,0.0,0.005706134094151327,-0.005706134094151327,0.11843971631205674,0.008098964702046185,0.446066303809995,0.5679162445119892,0.32684493003641935,0.10633215701438706,0.08252785984561697,0.11386545366545597,0.435148282454183,0.2884395307633114,-0.04635607728050872,-0.04635607728050872,-0.04635607728050872,5.1358875400728845,0.5593072479384882,0.24948811678206187,0.02533801965604318,0.02823848202862648,0.24146883944643427,0.10519297559795636,-0.0012987951140562295,0.1701047596583428,0.5097072185437281,0.7126655282127706,0.2694610778443114,0.08439716312056733,0.18506391472374406,True,0.0239520958083832,-0.17517730496453898,0.19912940077292218,True,0.07185628742514982,-0.1574468085106382,0.22930309593578801,True,0.19912940077292218,2020-06-22,1.67,1.67,280315.89999999997,168865.0,1.0,Egyptian Kuwaiti Holding,2019-02-05,2019-01-08,0.48148148148148145,0.9259259259259259,0.7692307692307693,0.7777777777777778,0.8846153846153846,0.7307692307692307,0.8148148148148148,0.5555555555555556,0.9259259259259259,0.9259259259259259,0.7307692307692307,0.9230769230769231,0.7692307692307693,0.33377991165900656,85.0,9,True,0.1,36,0.9999999999999999
10.47,3039385,14.1,TMGH,0.01650485436893212,0.005706134094151327,0.010798720274780793,0.7425531914893617,0.008918602381417173,0.22207029947308743,0.12190101757631844,-0.05441383142138123,0.6926083726422475,0.6519121933198321,0.07211119706303659,0.1390386605716709,0.062425860015245416,-0.016691857535945487,-0.016691857535945487,-0.016691857535945487,6.339214872239216,0.3131719262936608,0.06954618345859692,0.00788816721004242,0.011283559704227616,0.7351703653108123,0.48916462935417293,0.012517318298420375,0.005848749379962975,0.1999976072580563,0.1749592314563354,-0.05062082139446045,0.08439716312056733,-0.13501798451502778,False,-0.48328557784145176,-0.17517730496453898,-0.3081082728769128,False,-0.3791786055396371,-0.1574468085106382,-0.22173179702899892,False,-0.3081082728769128,2020-06-22,10.3,10.47,9864140.0,999593.0,1.0,T M G Holding,2019-02-05,2019-01-08,0.5185185185185185,0.8148148148148148,0.5,0.7037037037037037,0.5769230769230769,0.5384615384615384,0.8518518518518519,0.07407407407407407,0.7407407407407407,0.37037037037037035,0.5,0.8076923076923077,0.46153846153846156,0.32888320488143874,85.0,10,True,0.1,36,0.9999999999999999
