date,symbol,shares,close,market_value,entry_date,bars_held
2022-01-18,ABUK,30274.0,21.48,650285.52,2021-12-16,17
2022-01-19,ABUK,30274.0,21.38,647258.12,2021-12-16,18
2022-01-20,ABUK,30274.0,21.54,652101.96,2021-12-16,19
2022-01-23,ABUK,30274.0,21.36,646652.64,2021-12-16,20
2022-01-23,ORAS,7553.0,76.94,581127.82,2022-01-23,0
2022-01-24,ABUK,30274.0,21.49,650588.26,2021-12-16,21
2022-01-24,ORAS,7553.0,72.7,549103.1,2022-01-23,1
2022-01-25,ABUK,30274.0,21.47,649982.7799999999,2021-12-16,22
2022-01-26,ABUK,30274.0,21.45,649377.2999999999,2021-12-16,23
2022-01-30,ABUK,30274.0,21.2,641808.7999999999,2021-12-16,24
2022-01-31,ABUK,30274.0,21.14,639992.36,2021-12-16,25
2022-02-01,ABUK,30274.0,21.34,646047.16,2021-12-16,26
2022-02-01,TMGH,61513.0,9.07,557922.91,2022-02-01,0
2022-02-01,ETEL,33728.0,16.9,570003.2,2022-02-01,0
2022-02-02,ABUK,30274.0,21.03,636662.2200000001,2021-12-16,27
2022-02-02,TMGH,61513.0,9.04,556077.5199999999,2022-02-01,1
2022-02-02,ETEL,33728.0,16.99,573038.72,2022-02-01,1
2022-02-03,ABUK,30274.0,21.01,636056.74,2021-12-16,28
2022-02-03,TMGH,61513.0,9.0,553617.0,2022-02-01,2
2022-02-03,ETEL,33728.0,16.88,569328.64,2022-02-01,2
2022-02-06,ABUK,30274.0,20.94,633937.56,2021-12-16,29
2022-02-06,ETEL,33728.0,16.85,568316.8,2022-02-01,3
2022-02-06,HRHO,54486.0,10.22,556846.92,2022-02-06,0
2022-02-07,ABUK,30274.0,20.92,633332.0800000001,2021-12-16,30
2022-02-07,ETEL,33728.0,16.99,573038.72,2022-02-01,4
2022-02-07,HRHO,54486.0,10.26,559026.36,2022-02-06,1
2022-02-08,ETEL,33728.0,17.15,578435.2,2022-02-01,5
2022-02-08,HRHO,54486.0,10.5,572103.0,2022-02-06,2
2022-02-09,ETEL,33728.0,17.64,594961.92,2022-02-01,6
2022-02-09,HRHO,54486.0,11.46,624409.56,2022-02-06,3
2022-02-09,RMDA,391409.0,1.62,634082.5800000001,2022-02-09,0
2022-02-10,ETEL,33728.0,17.52,590914.5599999999,2022-02-01,7
2022-02-10,RMDA,391409.0,1.54,602769.86,2022-02-09,1
2022-02-13,ETEL,33728.0,17.22,580796.1599999999,2022-02-01,8
2022-02-14,ETEL,33728.0,17.25,581808.0,2022-02-01,9
2022-02-15,ETEL,33728.0,17.55,591926.4,2022-02-01,10
2022-02-16,ETEL,33728.0,17.8,600358.4,2022-02-01,11
2022-02-17,ETEL,33728.0,17.88,603056.64,2022-02-01,12
2022-02-20,ETEL,33728.0,17.76,599009.28,2022-02-01,13
2022-02-21,ETEL,33728.0,17.8,600358.4,2022-02-01,14
2022-02-22,ETEL,33728.0,17.65,595299.2,2022-02-01,15
2022-02-23,ETEL,33728.0,17.61,593950.08,2022-02-01,16
2022-02-24,ETEL,33728.0,17.36,585518.08,2022-02-01,17
2022-02-24,GBCO,107675.0,5.37,578214.75,2022-02-24,0
2022-02-28,GBCO,102339.0,5.76,589472.64,2022-02-28,0
2022-02-28,EGAL,23171.0,25.21,584140.91,2022-02-28,0
2022-03-01,GBCO,102339.0,5.86,599706.54,2022-02-28,1
2022-03-01,EGAL,23171.0,25.25,585067.75,2022-02-28,1
2022-03-01,ETEL,33906.0,18.42,624548.52,2022-03-01,0
2022-03-03,GBCO,102339.0,5.86,599706.54,2022-02-28,2
2022-03-03,EGAL,23171.0,25.57,592482.47,2022-02-28,2
2022-03-03,ETEL,33906.0,19.36,656420.16,2022-03-01,1
2022-03-06,GBCO,102339.0,5.79,592542.81,2022-02-28,3
2022-03-06,EGAL,23171.0,25.85,598970.35,2022-02-28,3
2022-03-06,ETEL,33906.0,18.59,630312.54,2022-03-01,2
2022-03-07,GBCO,102339.0,5.51,563887.89,2022-02-28,4
2022-03-07,EGAL,23171.0,27.23,630946.33,2022-02-28,4
2022-03-07,ETEL,33906.0,18.26,619123.56,2022-03-01,3
2022-03-08,EGAL,23171.0,26.01,602677.7100000001,2022-02-28,5
2022-03-09,EGAL,23171.0,25.92,600592.3200000001,2022-02-28,6
2022-03-10,EGAL,23171.0,25.29,585994.59,2022-02-28,7
2022-03-13,EGAL,23171.0,25.51,591092.2100000001,2022-02-28,8
2022-03-13,HRHO,49961.0,11.54,576549.94,2022-03-13,0
2022-03-14,EGAL,23171.0,26.71,618897.41,2022-02-28,9
2022-03-14,HRHO,49961.0,11.45,572053.45,2022-03-13,1
2022-03-15,EGAL,23171.0,25.19,583677.49,2022-02-28,10
2022-03-16,EGAL,23171.0,25.47,590165.37,2022-02-28,11
2022-03-17,EGAL,23171.0,24.21,560969.91,2022-02-28,12
2022-03-21,HRHO,48554.0,12.18,591387.72,2022-03-21,0
2022-03-22,HRHO,48554.0,12.06,585561.24,2022-03-21,1
2022-03-22,EGAL,22178.0,25.76,571305.28,2022-03-22,0
2022-03-22,TMGH,61502.0,9.06,557208.12,2022-03-22,0
2022-03-23,HRHO,48554.0,12.26,595272.04,2022-03-21,2
2022-03-23,EGAL,22178.0,26.32,583724.96,2022-03-22,1
2022-03-23,TMGH,61194.0,8.9,544626.6,2022-03-23,0
2022-03-24,HRHO,48554.0,12.18,591387.72,2022-03-21,3
2022-03-24,EGAL,22178.0,25.84,573079.52,2022-03-22,2
2022-03-24,TMGH,61194.0,8.73,534223.62,2022-03-23,1
2022-03-27,HRHO,48554.0,12.1,587503.4,2022-03-21,4
2022-03-27,EGAL,22178.0,25.11,556889.58,2022-03-22,3
