max_positions,year,strategy_final_equity,strategy_total_contributions,strategy_money_multiple,strategy_twr_total_return,strategy_cagr,strategy_sharpe,strategy_max_drawdown,strategy_return_dd,strategy_profit_factor,strategy_closed_trades,etf_final_equity,etf_total_contributions,etf_money_multiple,etf_twr_total_return,etf_cagr,etf_sharpe,etf_max_drawdown,etf_return_dd,etf_profit_factor,etf_closed_trades,excess_twr_vs_etf_dca
3,2015,215226.56937993004,220000.0,0.9783025880905911,-0.024245068283488935,-0.03657370477364519,-0.5735519035012233,0.05607288620425699,-0.6522529380852266,0.0,0.0,172826.38777589,220000.0,0.7855744898904091,-0.275545718792227,-0.38696318966482746,-1.4383163252007636,0.34963209868245715,-1.1067724934954417,0.0,0.0,0.25130065050873807
3,2016,568000.6325154905,120000.0,4.733338604295755,0.8513838258734621,1.938453444161591,3.5467819287573423,0.10555031000274084,18.36520844051765,0.0,0.0,370691.22998477006,220000.0,1.6849601362944093,0.756665274245377,1.680438075472099,2.916853437548221,0.17108530065375038,9.822223587010786,0.0,0.0,0.09471855162808507
3,2017,1678992.993659812,120000.0,13.991608280498433,1.606521398501457,16.708585962335384,4.253650320197139,0.07895428128489823,211.62355847486225,0.0,0.0,257513.9563003,220000.0,1.1705179831831818,0.20082106641194275,0.7315494343933049,1.7813959629754423,0.10926073686125737,6.695446648160984,0.0,0.0,1.4057003320895143
3,2018,1528670.755251834,120000.0,12.73892296043195,-0.16570316423476283,-0.532753017845983,-1.7808678828820048,0.2547575670102773,-2.0912156765278374,0.0,0.0,193678.04833411003,220000.0,0.8803547651550456,-0.13205001475689193,-0.4483320668007492,-1.2990689970805338,0.30498954620753826,-1.4699915861892188,0.0,0.0,-0.0336531494778709
3,2019,1273399.2800860645,100000.0,12.733992800860644,-0.22625245122658844,-0.8673462966917145,-4.086019845426253,0.27266211751103353,-3.1810297103579726,0.0,0.0,205294.43871128,200000.0,1.0264721935564,0.04801629461101897,0.44676594231334366,0.9774777016302653,0.11640039486971376,3.838182360235169,0.0,0.0,-0.2742687458376074
3,2020,1406227.2223549949,110000.0,12.783883839590862,0.026585361006267183,0.11858877160406411,0.5894793004305422,0.10802748249557759,1.0977648359890169,0.0,0.0,181681.85937754,210000.0,0.865151711321619,-0.22538851528034032,-0.6640638093955684,-1.3981975173549543,0.38170732664056306,-1.7397198404338934,0.0,0.0,0.2519738762866075
3,2021,1863822.8523889873,120000.0,15.531857103241562,0.24861668119949476,0.3343152849896025,1.1689889935412414,0.1427475812717134,2.3420031499745617,0.0,0.0,235286.83923047,220000.0,1.0694856328657727,0.081236267901734,0.10678130966965327,0.5768887736149096,0.18721576997524036,0.5703649307094979,0.0,0.0,0.16738041329776077
3,2022,1804887.222812769,120000.0,15.040726856773075,-0.08707625610755587,-0.09460594348508589,-0.42843309924155104,0.26408513663980493,-0.35824031859135747,0.0,0.0,287989.8108061,220000.0,1.309044594573182,0.21726507126416061,0.23921724275115652,1.0128644214549674,0.2787932434791939,0.8580453377056432,0.0,0.0,-0.3043413273717165
3,2023,2821148.8305292646,120000.0,23.509573587743873,0.4616349598498104,0.48717710298191497,1.748548723502599,0.20094182763433388,2.424468358416949,0.0,0.0,328926.55158541,220000.0,1.495120689024591,0.6911867258458764,0.7322355357979111,2.1260210590034228,0.168866982684025,4.336167580894316,0.0,0.0,-0.22955176599606597
3,2024,2792750.0555638927,120000.0,23.272917129699106,-0.06155470353857895,-0.06427201120809467,-0.13391417096721353,0.3643087483830534,-0.17642181664140466,0.0,0.0,245225.79917944001,220000.0,1.1146627235429092,0.20254795210961296,0.21271438562909029,0.7988801588541482,0.27494696081094594,0.773656071708147,0.0,0.0,-0.2641026556481919
3,2025,4936507.230788499,120000.0,41.13756025657083,0.6725243612525427,0.7084517533897798,2.3521070638103843,0.10231468041278013,6.9242434275471485,0.0,0.0,293321.90360722,220000.0,1.333281380032818,0.4250922021171457,0.4461059431131993,2.3045641851489287,0.07559271633776188,5.901440836176829,0.0,0.0,0.24743215913539696
3,2026,5852200.440065002,40000.0,146.30501100162505,0.1597457713199879,0.8634757700459177,2.105145012902348,0.07104070454006206,12.154662255059378,0.0,0.0,151792.28477877,140000.0,1.084230605562643,0.13119727154010885,0.6782670403714,2.0033742789921765,0.13599696523015958,4.987368940354729,0.0,0.0,0.028548499779879055
5,2015,206145.54767833,220000.0,0.9370252167196819,-0.06603270152628682,-0.09850913389706095,-2.3476653116704296,0.06764221225818456,-1.4563263176706873,0.0,0.0,172826.38777589,220000.0,0.7855744898904091,-0.275545718792227,-0.38696318966482746,-1.4383163252007636,0.34963209868245715,-1.1067724934954417,0.0,0.0,0.20951301726594018
5,2016,448857.5677966005,120000.0,3.7404797316383376,0.4346700617310224,0.8806850073985759,3.2197928362691077,0.056682450438393484,15.537172450858789,0.0,0.0,370691.22998477006,220000.0,1.6849601362944093,0.756665274245377,1.680438075472099,2.916853437548221,0.17108530065375038,9.822223587010786,0.0,0.0,-0.3219952125143546
5,2017,878276.7096695811,120000.0,7.318972580579843,0.6098035865448708,3.1717538163742267,3.9043594199517972,0.10629715670883433,29.838557441966113,0.0,0.0,257513.9563003,220000.0,1.1705179831831818,0.20082106641194275,0.7315494343933049,1.7813959629754423,0.10926073686125737,6.695446648160984,0.0,0.0,0.408982520132928
5,2018,1023608.1599922415,120000.0,8.530067999935346,-0.017279666435801144,-0.0705933894605868,-0.07198938066920701,0.18600505206389062,-0.3795240434455445,0.0,0.0,193678.04833411003,220000.0,0.8803547651550456,-0.13205001475689193,-0.4483320668007492,-1.2990689970805338,0.30498954620753826,-1.4699915861892188,0.0,0.0,0.11477034832109079
5,2019,1049163.8739298717,100000.0,10.491638739298716,-0.0704445420792692,-0.437441063072356,-1.999148627446612,0.11757213204191741,-3.720618614931617,0.0,0.0,205294.43871128,200000.0,1.0264721935564,0.04801629461101897,0.44676594231334366,0.9774777016302653,0.11640039486971376,3.838182360235169,0.0,0.0,-0.11846083669028817
5,2020,989984.4266919827,110000.0,8.999858424472569,-0.14447934834033616,-0.486496012809316,-3.0255283851078665,0.19680204658559852,-2.472006878229876,0.0,0.0,181681.85937754,210000.0,0.865151711321619,-0.22538851528034032,-0.6640638093955684,-1.3981975173549543,0.38170732664056306,-1.7397198404338934,0.0,0.0,0.08090916694000416
5,2021,1289506.8475655543,120000.0,10.74589039637962,0.17275712426825862,0.2299831312835634,1.0878813505688798,0.1436951553423398,1.6004932854949137,0.0,0.0,235286.83923047,220000.0,1.0694856328657727,0.081236267901734,0.10678130966965327,0.5768887736149096,0.18721576997524036,0.5703649307094979,0.0,0.0,0.09152085636652463
