candidate_idx,max_positions,selected_seed_current_fixed5,train_score,oos_balanced_score,params,train_final_equity,train_total_contributions,train_money_multiple,train_twr_total_return,train_cagr,train_sharpe,train_max_drawdown,train_return_dd,train_profit_factor,train_closed_trades,test_final_equity,test_total_contributions,test_money_multiple,test_twr_total_return,test_cagr,test_sharpe,test_max_drawdown,test_return_dd,test_profit_factor,test_closed_trades,full_final_equity,full_total_contributions,full_money_multiple,full_twr_total_return,full_cagr,full_sharpe,full_max_drawdown,full_return_dd,full_profit_factor,full_closed_trades,full_total_fees,full_fee_to_contributions_ratio,full_mean_turnover_pct,test_excess_twr_vs_etf_dca,test_excess_cagr_vs_etf_dca,test_drawdown_saving_vs_etf_dca
0,3,True,0.2035816440984285,1.5921562058688918,"{""atr_len"": 15, ""bb_len"": 40, ""bb_std"": 1.8495062824542354, ""cci_len"": 27, ""cci_reclaim"": -118.02475902638353, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 38, ""max_positions"": 3, ""rsi_entry"": 44.80609886093903, ""rsi_len"": 5, ""rsi_reclaim"": 54.98431843581888, ""scan_mode"": ""monthly"", ""stop_atr"": 1.056478065634162, ""target_atr"": 4.482664295015792, ""top_n"": 6, ""trail_atr"": 4.811367627216187, ""trend_len"": 100}",1441223.6913759005,1150000.0,1.253237992500783,1.3466575599662587,0.19283917676904805,0.6987052053629691,0.4371472093470683,0.44113097978385,0.0,0.0,5573821.193547828,280000.0,19.906504262670815,2.4393191641859175,0.7703412946874189,2.3687947184977673,0.26333761627457053,2.925299110645165,0.0,0.0,5573821.193547828,1430000.0,3.8977770584250546,7.09755068828499,0.3480043374094568,1.1284885077963527,0.4371472093470683,0.796080427756231,1.6900944005557885,338.0,751111.6485171901,0.5252529010609721,0.1273874289294798,1.5041262228579348,0.413349898043325,0.01160934453637541
1,3,False,-0.5472639482390423,0.6068715960630537,"{""atr_len"": 14, ""bb_len"": 35, ""bb_std"": 1.8813981113333291, ""cci_len"": 19, ""cci_reclaim"": -69.98237584859133, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 73, ""max_positions"": 3, ""rsi_entry"": 44.594808885718315, ""rsi_len"": 9, ""rsi_reclaim"": 46.1239923715401, ""scan_mode"": ""monthly"", ""stop_atr"": 1.6014754777019193, ""target_atr"": 5.583021818793536, ""top_n"": 5, ""trail_atr"": 4.286206586085787, ""trend_len"": 147}",1201289.030858303,1150000.0,1.0445991572680895,0.43760987690588427,0.07792522053244877,0.4199566850028192,0.496076122333855,0.15708319151875194,0.0,0.0,2831288.321006177,280000.0,10.11174400359349,0.968224408207228,0.3676525654742884,1.4438200370977508,0.3146803371076382,1.1683366328304483,0.0,0.0,2831288.321006177,1430000.0,1.9799219028015225,1.9403767113847872,0.16647866147548407,0.7392311019419966,0.496076122333855,0.33559095868646815,1.4007913584200073,190.0,297426.83728883,0.20799079530687414,0.07150533598295329,0.0330314668792453,0.010661168830194523,-0.03973337629669227
2,3,False,-0.15993913816938615,0.8721557105871233,"{""atr_len"": 16, ""bb_len"": 18, ""bb_std"": 2.241570359084172, ""cci_len"": 16, ""cci_reclaim"": -112.86028642033409, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 43, ""max_positions"": 3, ""rsi_entry"": 34.6061762609564, ""rsi_len"": 11, ""rsi_reclaim"": 55.77409354602258, ""scan_mode"": ""weekly"", ""stop_atr"": 1.871752669410636, ""target_atr"": 5.624060055022759, ""top_n"": 6, ""trail_atr"": 3.455471906433542, ""trend_len"": 148}",1508008.3563483409,1150000.0,1.3113116142159487,0.3509261137795212,0.06415540516050267,0.8400037570765985,0.11715520397328882,0.5476103748249201,0.0,0.0,2570038.796554102,280000.0,9.178709987693221,0.482591085708886,0.1997141407303451,1.6394707722093753,0.0932261413634925,2.142254713210231,0.0,0.0,2570038.796554102,1430000.0,1.7972299276602113,1.0047741158256795,0.10440345798914641,1.1377658555008727,0.11715520397328882,0.8911551040698987,4.600371142895408,33.0,53278.00144590001,0.03725734366846154,0.012459869499271475,-0.4526018556190967,-0.15727725591374875,0.18172081944745344
3,3,False,-0.6712477208618284,1.0799969030816212,"{""atr_len"": 20, ""bb_len"": 22, ""bb_std"": 1.7199545853867308, ""cci_len"": 18, ""cci_reclaim"": -89.74745997041195, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 81, ""max_positions"": 3, ""rsi_entry"": 44.171936435991874, ""rsi_len"": 9, ""rsi_reclaim"": 48.23326736033744, ""scan_mode"": ""monthly"", ""stop_atr"": 1.7841146309773264, ""target_atr"": 2.9717502031983045, ""top_n"": 6, ""trail_atr"": 4.774434957416445, ""trend_len"": 109}",1370788.9489377434,1150000.0,1.1919903903806464,0.1681714211457479,0.0326553999457293,0.2513813731669695,0.39539432805087293,0.08258944964311105,0.0,0.0,3629424.9625086603,280000.0,12.962232008959502,1.2412234053442814,0.45230953355228176,1.851534845135728,0.20480265914855456,2.208513968679464,0.0,0.0,3629424.9625086603,1430000.0,2.5380594143417206,1.7090793820529258,0.1529132854446249,0.7333450812182407,0.39539432805087293,0.38673616335981054,1.7194850790399114,238.0,352242.42216635,0.2463233721443007,0.0902139658680534,0.30603046401629874,0.09531813690818791,0.07014430166239138
4,3,False,0.53328635916426,0.4890824990001957,"{""atr_len"": 15, ""bb_len"": 33, ""bb_std"": 2.036900031424599, ""cci_len"": 21, ""cci_reclaim"": -59.87837027339658, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 69, ""max_positions"": 3, ""rsi_entry"": 44.99991385697911, ""rsi_len"": 7, ""rsi_reclaim"": 42.597274044599445, ""scan_mode"": ""monthly"", ""stop_atr"": 1.2441979857987624, ""target_atr"": 5.3061628888257335, ""top_n"": 12, ""trail_atr"": 5.21448014255382, ""trend_len"": 144}",2334461.2851684596,1150000.0,2.0299663349290955,2.5886387496621714,0.3023234596271527,0.9843192465521209,0.5133742793485429,0.5888948312930528,0.0,0.0,5902856.490647995,280000.0,21.08163032374284,1.3139406089127874,0.4739104996423418,1.421337681459424,0.5067970489348635,0.9351090355367311,0.0,0.0,5902856.490647995,1430000.0,4.127871671781815,7.339989835896844,0.35369403857793147,1.1165622111045157,0.5133742793485429,0.6889594060434017,1.4532612566439143,343.0,902383.0440470302,0.6310370937391819,0.1303162872979548,0.3787476675848047,0.11691910299824793,-0.2318500881239176
5,3,False,-0.020551213512445772,0.7435997786621616,"{""atr_len"": 20, ""bb_len"": 29, ""bb_std"": 1.5760217783195567, ""cci_len"": 20, ""cci_reclaim"": -74.63219729206949, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 83, ""max_positions"": 3, ""rsi_entry"": 43.183255290109734, ""rsi_len"": 9, ""rsi_reclaim"": 54.10915868964044, ""scan_mode"": ""weekly"", ""stop_atr"": 2.5678740067396193, ""target_atr"": 2.957388411322364, ""top_n"": 12, ""trail_atr"": 3.519613072082884, ""trend_len"": 123}",1856856.2372381054,1150000.0,1.6146575975983526,1.0153631094113433,0.15589395482417956,0.7050872421536123,0.4634092171892398,0.3364066769533374,0.0,0.0,5231790.55162944,280000.0,18.68496625581943,1.470753316555605,0.5192825239314591,1.7545178681484601,0.4172289254311712,1.2445985699453221,0.0,0.0,5231790.55162944,1430000.0,3.658594791349259,4.1828784684767495,0.26480547963221057,1.0575608073516256,0.4634092171892398,0.5714290303467863,1.6481079430371017,271.0,613538.5198705799,0.4290479159934125,0.10314501548777064,0.5355603752276223,0.16229112728736528,-0.14228196462022524
6,3,False,-1.1062467786184624,0.4694200100247243,"{""atr_len"": 13, ""bb_len"": 41, ""bb_std"": 1.973211505233829, ""cci_len"": 25, ""cci_reclaim"": -62.43770938538635, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 63, ""max_positions"": 3, ""rsi_entry"": 46.497890261009466, ""rsi_len"": 12, ""rsi_reclaim"": 47.40880493734053, ""scan_mode"": ""weekly"", ""stop_atr"": 2.2133460993768304, ""target_atr"": 2.809417939349626, ""top_n"": 11, ""trail_atr"": 3.85223718746956, ""trend_len"": 144}",1169616.0217973248,1150000.0,1.0170574102585432,0.18281948152257543,0.03531904624768334,0.26157528235844296,0.6513926686339936,0.05422082247525034,0.0,0.0,2699056.3359725713,280000.0,9.639486914187755,0.9587443613433575,0.364602711738345,1.2901083388407546,0.38221140006068,0.9539294528642018,0.0,0.0,2699056.3359725713,1430000.0,1.8874519831976022,1.3320677710615856,0.12850811884882263,0.5681576141386631,0.6513926686339936,0.1972821080690258,1.2709240232703982,285.0,422601.7446574397,0.29552569556464314,0.10866831590288216,0.023551420015374802,0.00761131509425117,-0.10726443924973406
7,3,False,-0.31256120190239917,0.9390225399269019,"{""atr_len"": 11, ""bb_len"": 23, ""bb_std"": 2.196097357088355, ""cci_len"": 21, ""cci_reclaim"": -35.327901744404954, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 28, ""max_positions"": 3, ""rsi_entry"": 46.00881581659369, ""rsi_len"": 13, ""rsi_reclaim"": 49.26291577274252, ""scan_mode"": ""monthly"", ""stop_atr"": 1.9511983919168079, ""target_atr"": 4.775753202570954, ""top_n"": 6, ""trail_atr"": 4.332405113834881, ""trend_len"": 95}",1542706.1166622832,1150000.0,1.3414835797063331,0.5095779658384101,0.08886550492133405,0.5203281075779366,0.35730245009373673,0.248712274147632,0.0,0.0,3924594.562078627,280000.0,14.01640915028081,1.265208191054274,0.45947541499737343,1.8485521996795593,0.2642935211182178,1.7385042700000628,0.0,0.0,3924594.562078627,1430000.0,2.7444717217333054,2.4227128612631352,0.1920525106247073,0.9495212416457942,0.35730245009373673,0.5375068393018944,1.8756034418933436,177.0,287060.6757413801,0.2007417312876784,0.0663772699980234,0.33001524972629137,0.10248401835327958,0.01065343969272814
8,3,False,-0.0825255531682676,0.9569860210029791,"{""atr_len"": 21, ""bb_len"": 23, ""bb_std"": 2.0984125577241044, ""cci_len"": 36, ""cci_reclaim"": -98.3323281618812, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 77, ""max_positions"": 3, ""rsi_entry"": 37.35677854496109, ""rsi_len"": 13, ""rsi_reclaim"": 48.11537381763273, ""scan_mode"": ""monthly"", ""stop_atr"": 2.34592771531784, ""target_atr"": 3.072372052225719, ""top_n"": 4, ""trail_atr"": 4.05105336190855, ""trend_len"": 123}",1424277.570364331,1150000.0,1.2385022350994181,0.46240431605176235,0.08174244815282572,0.966762242185908,0.15771216466102944,0.51830147870023,0.0,0.0,1995338.2946521714,280000.0,7.126208195186327,0.18844170079910327,0.0831002900500939,1.2928163186696633,0.026020046896598314,3.1937025471294547,0.0,0.0,1995338.2946521714,1430000.0,1.3953414647917284,0.7396336807474382,0.08226011363336672,1.0411180208663862,0.15771216466102944,0.5215838220860659,3.6986546901350947,30.0,38650.97756283,0.027028655638342655,0.011402013572361851,-0.7467512405288794,-0.27389110659399996,0.24892691391434763
9,3,False,-0.4932716556636838,0.1998206161772159,"{""atr_len"": 15, ""bb_len"": 35, ""bb_std"": 1.941924676470655, ""cci_len"": 14, ""cci_reclaim"": -80.69504129004882, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 61, ""max_positions"": 3, ""rsi_entry"": 44.940896051525996, ""rsi_len"": 13, ""rsi_reclaim"": 47.60949348695843, ""scan_mode"": ""monthly"", ""stop_atr"": 1.9370100785496407, ""target_atr"": 2.5921201937387868, ""top_n"": 10, ""trail_atr"": 4.911472333783415, ""trend_len"": 70}",1659343.5609292341,1150000.0,1.4429074442862906,0.3463987159016646,0.06341716609846615,0.39651560435337413,0.3986594321144825,0.15907604584219326,0.0,0.0,2687142.9098770693,280000.0,9.596938963846677,0.3670978548779944,0.15555798389620645,0.8413922274338279,0.2671786119394367,0.5822246876986841,0.0,0.0,2687142.9098770693,1430000.0,1.8791209159979505,0.9154455853151324,0.09723944862928913,0.5521924800523934,0.3986594321144825,0.24391608675488455,1.4023112229315884,263.0,383352.97296294,0.268079002071986,0.09891476166161876,-0.5680950864499883,-0.2014334127478874,0.007768348871509234
