date,open,high,low,close,volume,symbol,holding_name,weight,atr,ret_21,ret_63,daily_value,median_daily_value_63,median_daily_volume_63,kama,trend_ma,trend_ok,signal_fail,entry_signal,rank_score,factor_date,sector,factor_score,score_momentum,score_value,score_quality,score_growth,score_low_risk,score_liquidity,has_fundamentals,fundamental_filing_date,fundamental_row_age_days,raw_rebound_rank_score,rebound_rank_pct
2026-03-31,168.5,171.32,167.0,167.33,79859,MCQE,Misr Cement - Qena,0.0095594736152338,7.09400542432989,-0.13233082706766908,0.18029202228962404,13362806.47,17565430.74,103815.0,166.3803341623091,144.4221186440678,True,False,False,0.8792085552142005,2026-04-01,materials,0.6889021164021165,0.9682539682539684,0.495,0.6925,0.8500000000000001,0.6481481481481483,0.1111111111111111,True,2025-08-10,233.0,1.116345357286878,0.9032258064516129
2026-03-31,80.95,83.0,79.5,81.7,3721316,ABUK,Abou Kir Fertilizers,0.0277044406054415,4.616438534617832,0.19619326500732082,0.5591603053435115,304031517.2,145733748.0,2032452.0,76.40000228758649,59.0557627118644,True,False,False,0.86476651135006,2026-04-01,materials,0.48774074074074075,0.38888888888888895,0.5275,0.42833333333333334,0.44722222222222224,0.5740740740740741,0.7777777777777778,True,2026-03-01,30.0,1.50412566115652,0.967741935483871
2026-03-31,79.01,79.9,78.35,78.59,1004624,ETEL,Telecom Egypt,0.0536052766146507,3.0626444022871,-0.12463800400980174,0.2474603174603176,78953400.16,111440606.0,1262562.0,85.90545594816375,69.8057627118644,False,False,False,0.8628080559822496,2026-04-01,telecom,0.8369973544973546,0.9285714285714287,1.0,1.0,0.7138888888888889,0.20370370370370372,0.6666666666666666,True,2026-03-31,0.0,1.0760603522314196,0.8709677419354839
2026-03-31,296.14,303.85,294.3,302.0,417196,EGAL,Egypt Aluminum,0.0103499522067357,14.184289996702605,0.37447660659020565,0.325026325026325,125993192.0,90650364.0,351358.0,253.50976665482654,226.57872881355934,True,False,False,0.766130443761734,2026-04-01,materials,0.6126931216931217,0.5476190476190476,0.5425,0.775,0.7194444444444446,0.5185185185185186,0.6111111111111112,True,2026-03-01,30.0,1.0508011768477123,0.8064516129032258
2026-03-31,31.55,32.46,31.16,32.4,2465297,VLMRA,Egyptian Kuwaiti Holding (EGP),0.0053141285830274,1.269633242310204,0.20850428944423727,0.3399503722084367,79875622.8,63480369.47,2436547.0,29.033433521649005,26.065169491525424,True,False,False,0.6904592037890425,2026-04-01,holdco,0.38863095238095247,0.11904761904761905,0.5,0.5375000000000001,0.23194444444444448,0.7777777777777778,0.4444444444444444,True,2026-03-31,0.0,1.0074808773777422,0.7741935483870968
2026-03-31,4.07,4.11,4.01,4.06,8874824,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0045018697892856,0.19871814222243755,-0.10375275938189854,0.2647975077881619,36031785.44,50126778.9,14351640.0,4.292397540476626,3.896271186440678,False,False,False,0.6690216554950427,2026-03-01,healthcare,0.4283116883116883,0.09740259740259741,0.625,0.7625,0.4128787878787879,0.5757575757575759,0.22727272727272727,True,2025-11-29,89.0,1.0008853243485296,0.7419354838709677
2026-03-31,8.3,8.4,8.2,8.28,11951880,AMOC,Alexandria Mineral Oils Company,0.0078246964812872,0.35017210390077175,0.16129032258064502,0.19308357348703153,98961566.39999999,47955452.52,6773369.0,7.92155952104563,7.281440677966102,True,False,False,0.6675853217272573,2026-04-01,energy,0.5721164021164021,0.14285714285714288,1.0,1.0,0.2555555555555556,0.7037037037037037,0.3333333333333333,True,2026-01-29,61.0,0.9023482529769814,0.7096774193548387
2026-03-31,119.79,123.55,119.7,121.0,6237239,COMI,Commercial International Bank-Egypt (CIB),0.3479291987217656,4.598403678494364,-0.08368042408178733,0.16402116402116396,754705919.0,470906106.96,3791578.0,129.82104172742802,116.66322033898304,False,False,False,0.6578772828127667,2026-04-01,banks,0.6316798941798942,0.634920634920635,0.7,0.6,0.663888888888889,0.14814814814814817,1.0,True,2025-07-22,252.0,0.7697813109692089,0.6774193548387096
2026-03-31,0.7,0.7,0.7,0.7,220861,VLMR,Egyptian Kuwaiti Holding,0.0173368176393325,0.005908784427379415,-0.014084507042253502,0.01449275362318847,154602.69999999998,135195.19999999998,193136.0,0.6847952608108565,0.6985593220338983,True,False,False,0.5959286354326676,2026-04-01,holdco,0.41398809523809527,0.1507936507936508,0.6749999999999999,0.5375000000000001,0.20694444444444446,1.0000000000000002,0.05555555555555555,True,2026-03-31,0.0,0.7440792151231699,0.6451612903225806
2026-03-31,18.25,18.5,17.8,18.0,3423742,EFIH,E-finance For Digital and Financial Investments,0.050843864299576,0.7986981085733974,-0.1346153846153847,0.0,61627356.0,61627356.0,2886922.0,19.819276699505462,17.93720338983051,False,False,False,0.5845420549581841,2026-04-01,technology,0.633425925925926,0.6111111111111112,0.875,0.75,0.6583333333333334,0.20370370370370372,0.3888888888888889,True,2026-03-31,0.0,0.6897370091921078,0.5806451612903226
2026-03-31,16.81,17.25,16.81,17.1,7908434,FWRY,Fawry For Banking Technology And Electronic Payment,0.0586291794954942,0.6645446986659226,-0.060439560439560336,0.054904380012338105,135234221.4,179588742.66,9950072.0,17.699801634426432,16.404322033898307,False,False,False,0.5678723758320533,2026-04-01,technology,0.6232142857142858,0.7857142857142858,0.5,0.625,0.513888888888889,0.27777777777777785,0.8333333333333334,True,2025-11-18,133.0,0.6616995445518656,0.5483870967741935
