year,strategy_final_equity,strategy_total_contributions,strategy_money_multiple,strategy_twr_total_return,strategy_cagr,strategy_sharpe,strategy_max_drawdown,strategy_return_dd,strategy_profit_factor,strategy_closed_trades,etf_final_equity,etf_total_contributions,etf_money_multiple,etf_twr_total_return,etf_cagr,etf_sharpe,etf_max_drawdown,etf_return_dd,etf_profit_factor,etf_closed_trades,excess_twr_vs_etf_dca
2015,220000.0,220000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172826.38777589,220000.0,0.7855744898904091,-0.275545718792227,-0.38696318966482746,-1.4383163252007636,0.34963209868245715,-1.1067724934954417,0.0,0.0,0.275545718792227
2016,421715.7440364602,120000.0,3.5142978669705016,0.25177731681913684,0.4814001547556126,3.0385867112733216,0.058392177675527845,8.24425760297286,0.0,0.0,370691.22998477006,220000.0,1.6849601362944093,0.756665274245377,1.680438075472099,2.916853437548221,0.17108530065375038,9.822223587010786,0.0,0.0,-0.5048879574262402
2017,753706.4029399204,120000.0,6.280886691166003,0.4297392688210402,1.922607784056118,3.3210111327347174,0.06223958116165362,30.89043576727432,0.0,0.0,257513.9563003,220000.0,1.1705179831831818,0.20082106641194275,0.7315494343933049,1.7813959629754423,0.10926073686125737,6.695446648160984,0.0,0.0,0.22891820240909744
2018,898301.337136971,120000.0,7.485844476141424,-0.023475442515977774,-0.094956796851142,-0.24409918779030781,0.14523725629508955,-0.6538046729429471,0.0,0.0,193678.04833411003,220000.0,0.8803547651550456,-0.13205001475689193,-0.4483320668007492,-1.2990689970805338,0.30498954620753826,-1.4699915861892188,0.0,0.0,0.10857457224091416
2019,983971.1442724211,100000.0,9.83971144272421,-0.0157518227593485,-0.11753218276475819,-0.9608685312611643,0.03958255577390257,-2.9692924185115173,0.0,0.0,205294.43871128,200000.0,1.0264721935564,0.04801629461101897,0.44676594231334366,0.9774777016302653,0.11640039486971376,3.838182360235169,0.0,0.0,-0.06376811737036747
2020,1093971.144272421,110000.0,9.945192220658372,-1.1102230246251565e-16,-4.440892098500626e-16,-2.0844250013389534,1.1102230246251565e-16,-4.0,0.0,0.0,181681.85937754,210000.0,0.865151711321619,-0.22538851528034032,-0.6640638093955684,-1.3981975173549543,0.38170732664056306,-1.7397198404338934,0.0,0.0,0.2253885152803402
2021,1108015.4476026413,120000.0,9.233462063355343,-0.09046649823834219,-0.11588905790573911,-0.8729183771610423,0.14812245366349197,-0.7823868362930212,0.0,0.0,235286.83923047,220000.0,1.0694856328657727,0.081236267901734,0.10678130966965327,0.5768887736149096,0.18721576997524036,0.5703649307094979,0.0,0.0,-0.17170276614007618
2022,1258911.583954832,120000.0,10.490929866290267,0.02136672588763422,0.02333164861031145,0.2500508056246031,0.14719462206071987,0.1585088387311244,0.0,0.0,287989.8108061,220000.0,1.309044594573182,0.21726507126416061,0.23921724275115652,1.0128644214549674,0.2787932434791939,0.8580453377056432,0.0,0.0,-0.1958983453765264
2023,1818638.715925604,120000.0,15.155322632713368,0.3264887434938606,0.3437056607867306,1.469675902790147,0.16487278592770127,2.084671881128094,0.0,0.0,328926.55158541,220000.0,1.495120689024591,0.6911867258458764,0.7322355357979111,2.1260210590034228,0.168866982684025,4.336167580894316,0.0,0.0,-0.3646979823520158
2024,2697774.5468968563,120000.0,22.481454557473803,0.3691046261499622,0.3888778006023661,1.780729587076677,0.23747388970519956,1.6375602432971454,0.0,0.0,245225.79917944001,220000.0,1.1146627235429092,0.20254795210961296,0.21271438562909029,0.7988801588541482,0.27494696081094594,0.773656071708147,0.0,0.0,0.16655667404034924
2025,4236680.28249412,120000.0,35.305669020784336,0.5130711646071835,0.5391876126455608,3.174708779313549,0.09512617336441664,5.668131005123054,0.0,0.0,293321.90360722,220000.0,1.333281380032818,0.4250922021171457,0.4461059431131993,2.3045641851489287,0.07559271633776188,5.901440836176829,0.0,0.0,0.08797896249003778
2026,4633118.924600442,40000.0,115.82797311501105,0.10556173438421523,0.5242232916725551,2.813150417126177,0.03625043717454657,14.461157782688513,0.0,0.0,151792.28477877,140000.0,1.084230605562643,0.13119727154010885,0.6782670403714,2.0033742789921765,0.13599696523015958,4.987368940354729,0.0,0.0,-0.025635537155893617
