date,etf_regime_ok,index_regime_ok,breadth,breadth_regime_ok,market_regime_ok
2015-01-15,False,False,0.0,False,False
2015-01-18,False,False,0.0,False,False
2015-01-19,False,False,0.0,False,False
2015-01-20,False,False,0.0,False,False
2015-01-21,False,False,0.0,False,False
2015-01-22,False,False,0.0,False,False
2015-01-26,False,False,0.0,False,False
2015-01-27,False,False,0.0,False,False
2015-01-28,False,False,0.0,False,False
2015-01-29,False,False,0.0,False,False
2015-02-01,False,False,0.0,False,False
2015-02-02,False,False,0.0,False,False
2015-02-03,False,False,0.0,False,False
2015-02-04,False,False,0.0,False,False
2015-02-05,False,False,0.0,False,False
2015-02-08,False,False,0.0,False,False
2015-02-09,False,False,0.0,False,False
2015-02-10,False,False,0.0,False,False
2015-02-11,False,False,0.0,False,False
2015-02-12,False,False,0.0,False,False
2015-02-15,False,False,0.0,False,False
2015-02-16,False,False,0.0,False,False
2015-02-17,False,False,0.0,False,False
2015-02-18,False,False,0.0,False,False
2015-02-19,False,False,0.0,False,False
2015-02-22,False,False,0.0,False,False
2015-02-23,False,False,0.0,False,False
2015-02-24,False,False,0.0,False,False
2015-02-25,False,False,0.0,False,False
2015-02-26,False,False,0.0,False,False
2015-03-01,False,False,0.0,False,False
2015-03-02,False,False,0.0,False,False
2015-03-03,False,False,0.0,False,False
2015-03-04,False,False,0.0,False,False
2015-03-05,False,False,0.0,False,False
2015-03-08,False,False,0.0,False,False
2015-03-09,False,False,0.0,False,False
2015-03-10,False,True,0.0,False,False
2015-03-11,False,True,0.0,False,False
2015-03-12,False,False,0.0,False,False
2015-03-15,False,False,0.0,False,False
2015-03-16,True,True,0.0,False,True
2015-03-17,False,False,0.0,False,False
2015-03-18,False,False,0.0,False,False
2015-03-19,False,False,0.0,False,False
2015-03-22,False,False,0.0,False,False
2015-03-23,False,False,0.0,False,False
2015-03-24,False,False,0.0,False,False
2015-03-25,False,False,0.0,False,False
2015-03-26,False,False,0.0,False,False
2015-03-30,False,False,0.08333333333333333,False,False
2015-03-31,False,False,0.125,False,False
2015-04-01,False,False,0.125,False,False
2015-04-02,False,False,0.125,False,False
2015-04-05,False,False,0.08,False,False
2015-04-06,False,False,0.0,False,False
2015-04-07,False,False,0.0,False,False
2015-04-08,False,False,0.0,False,False
2015-04-09,False,False,0.0,False,False
2015-04-14,False,False,0.08,False,False
2015-04-15,False,False,0.04,False,False
2015-04-16,False,False,0.04,False,False
2015-04-19,False,False,0.04,False,False
2015-04-20,False,False,0.04,False,False
2015-04-22,False,False,0.04,False,False
2015-04-23,False,False,0.04,False,False
2015-04-26,False,False,0.04,False,False
2015-04-27,False,False,0.04,False,False
2015-04-28,False,False,0.04,False,False
2015-04-29,False,False,0.08,False,False
2015-04-30,False,False,0.12,False,False
2015-05-03,False,False,0.16,False,False
2015-05-04,False,False,0.16,False,False
2015-05-05,False,False,0.2,False,False
2015-05-07,False,False,0.16,False,False
2015-05-11,False,False,0.2,False,False
2015-05-12,False,False,0.16,False,False
2015-05-13,False,False,0.2,False,False
2015-05-14,False,False,0.2,False,False
2015-05-17,False,False,0.16,False,False
2015-05-18,False,False,0.12,False,False
2015-05-19,False,False,0.2,False,False
2015-05-20,False,False,0.16,False,False
2015-05-21,False,False,0.12,False,False
2015-05-24,False,False,0.16,False,False
2015-05-25,True,False,0.16,False,False
2015-05-27,False,False,0.16,False,False
2015-05-28,False,False,0.12,False,False
2015-06-01,False,False,0.12,False,False
2015-06-02,False,False,0.12,False,False
2015-06-03,False,False,0.12,False,False
2015-06-04,False,False,0.12,False,False
2015-06-08,False,False,0.12,False,False
2015-06-09,False,False,0.12,False,False
2015-06-11,False,False,0.12,False,False
2015-06-15,False,False,0.08,False,False
2015-06-16,False,False,0.12,False,False
2015-06-17,False,False,0.16,False,False
2015-06-21,False,False,0.16,False,False
2015-06-23,False,False,0.16,False,False
2015-06-24,False,False,0.16,False,False
2015-06-25,False,False,0.16,False,False
2015-06-29,False,False,0.16,False,False
2015-07-02,False,False,0.16,False,False
2015-07-05,False,False,0.16,False,False
2015-07-06,False,False,0.11538461538461539,False,False
2015-07-07,False,False,0.11538461538461539,False,False
2015-07-08,False,False,0.11538461538461539,False,False
2015-07-09,False,False,0.11538461538461539,False,False
2015-07-12,False,False,0.11538461538461539,False,False
2015-07-14,False,False,0.11538461538461539,False,False
2015-07-15,False,False,0.11538461538461539,False,False
2015-07-16,False,False,0.15384615384615385,False,False
2015-07-22,False,False,0.19230769230769232,False,False
2015-07-28,False,False,0.19230769230769232,False,False
2015-07-30,False,False,0.15384615384615385,False,False
2015-08-03,False,False,0.2692307692307692,False,False
2015-08-04,False,False,0.23076923076923078,False,False
2015-08-05,False,False,0.19230769230769232,False,False
2015-08-10,False,False,0.3076923076923077,False,False
2015-08-12,False,False,0.19230769230769232,False,False
2015-08-17,False,False,0.19230769230769232,False,False
2015-08-19,False,False,0.15384615384615385,False,False
2015-08-20,False,False,0.11538461538461539,False,False
2015-08-24,False,False,0.07692307692307693,False,False
2015-08-25,False,False,0.07692307692307693,False,False
2015-08-27,False,False,0.07692307692307693,False,False
2015-08-30,False,False,0.07692307692307693,False,False
2015-08-31,False,False,0.11538461538461539,False,False
2015-09-01,False,False,0.11538461538461539,False,False
2015-09-03,False,False,0.11538461538461539,False,False
2015-09-09,False,False,0.11538461538461539,False,False
2015-09-10,False,False,0.11538461538461539,False,False
2015-09-14,False,False,0.11538461538461539,False,False
2015-09-17,False,False,0.11538461538461539,False,False
