date,core_satellite_equity,adaptive_balanced_equity,adaptive_aggressive_equity,static_top10_dca_equity,annual_top10_dca_equity,etf_dca_equity,etf_buy_hold_norm
2019-02-05,111594.70596725,111489.27552107003,111436.88209870002,111329.92509489,111329.92509489,111920.07777500001,1.0
2019-02-14,113927.03596724998,113583.87552107003,113411.98209869998,113068.42509488999,113068.42509488999,114846.07777500001,1.026143790849673
2019-02-19,113842.17596724999,113728.35552107003,113671.2820987,113557.75509488999,113557.75509488999,114187.727775,1.0202614379084967
2019-02-21,115064.10596725001,114386.09552107003,114046.96209870001,113366.88509488998,113366.88509488998,116821.12777500002,1.0437908496732027
2019-02-28,113030.82596724998,112886.34552107002,112813.77209870002,112667.26509489001,112667.26509489001,113456.227775,1.0137254901960784
2019-04-17,121799.30386435002,120549.28419348002,119924.85450560001,118668.20658244,118668.20658244,125040.58575218002,1.0281045751633986
2019-05-21,118529.50342512,117172.07718062002,116495.91748474,115124.72122727001,115124.72122727001,122077.29628838,0.9281045751633986
2019-07-09,133545.90166836,131880.43212254002,131051.32621517002,129375.63882227,129375.63882227,137930.41830918004,0.9751633986928104
2019-07-11,132158.19166836,130083.35212254002,129048.89621517,126952.36822202998,126952.36822202998,137560.65830918003,0.9725490196078431
2019-08-21,142719.80740159,139494.85305086,137885.60072392,134636.29650931,134636.29650931,151056.62032998,0.9980392156862744
2019-08-22,142026.89740159002,138800.66305086002,137190.98072392002,133939.68650931,133939.68650931,150364.18032998,0.9934640522875816
2019-08-28,140786.16740158998,137853.34305086,136391.31072392,133433.20650931,133433.20650931,148385.78032998,0.9803921568627451
2019-09-02,156379.0143033,152343.52342395,150329.20636212,146270.51978259,146270.51978259,166806.43285498003,1.0326797385620916
2019-09-04,155743.45430329998,151153.50342395,148862.48636212002,144247.73978259,144247.73978259,167545.42285498002,1.0372549019607842
2019-09-09,155761.9043033,151517.79342395,149400.85636212,145135.65978259,145135.65978259,166700.86285498002,1.0320261437908496
2019-09-17,154808.3243033,150014.16342395003,147620.30636212,142794.53978259,142794.53978259,167123.14285498002,1.0346405228758169
2019-09-23,142687.1443033,137539.33342395,134969.82636212002,129766.84978259003,129766.84978259003,155827.15285498003,0.9647058823529411
2019-10-24,155463.79099192,150739.09959136002,148381.93548572002,143611.45910829,143611.45910829,167616.98263688,0.9758169934640523
2019-10-27,156210.53099192,151381.13959136,148971.87548572,144097.84910829001,144097.84910829001,168627.32263688,0.9816993464052287
2019-10-28,156798.85099192,152071.82959136003,149713.60548572004,144943.66910829002,144943.66910829002,168964.10263688004,0.9836601307189542
2019-10-30,159637.57099192002,154973.70959136,152647.20548572,147948.83910829,147948.83910829,171658.34263688,0.9993464052287581
2019-10-31,160576.17099192,156245.36959136,154085.63548572,149724.61910829,149724.61910829,171770.60263688004,1.0
2019-11-03,171332.91364593,166864.70579279005,164636.77003649,160139.54235155002,160139.54235155002,182927.56815108002,1.0058823529411764
2019-11-04,171908.68364593002,167339.83579279002,165061.37003649,160464.53235155003,160464.53235155003,183759.58815108,1.0104575163398692
2019-11-20,168226.05364593002,163507.44579279,161149.82003649,156391.84235155003,156391.84235155003,180431.50815108002,0.992156862745098
2019-11-21,167288.33364593002,162572.94579279,160217.38003649,155460.63235155004,155460.63235155004,179480.62815108002,0.9869281045751633
2019-11-27,162358.79364593,157944.69579279004,155739.91003649,151277.19235155,151277.19235155,173775.34815108,0.9555555555555555
2019-12-03,168986.30140698998,164530.47416209002,162306.36908106,157834.76723848,157834.76723848,180506.60618628,0.937908496732026
2019-12-25,171633.87140699,166894.45416209,164526.45908106,159756.95723848,159756.95723848,183902.66618628,0.9555555555555555
2019-12-30,173592.49140698998,169461.50416209002,167410.97908106,163576.59723848,163576.59723848,184028.44618628002,0.9562091503267974
2019-12-31,292805.14140699,335716.61416209,357219.05908106,401432.72723847994,401432.72723847994,185663.58618628,0.9647058823529411
2020-01-02,183117.92643291003,178090.16770528,175312.28169084003,172687.05385809005,172077.69912285003,195743.89871128,0.9660130718954247
2020-01-12,179286.61643291003,174736.16770528,172178.59169084002,169045.30385809,167538.26912285003,192433.14871128,0.949673202614379
2020-01-28,177041.83643291,173172.59770528003,170815.50169084003,166533.73385809,164665.68912285,191108.84871128,0.9431372549019608
2020-01-30,182437.51643291,178171.60770528,175767.10169084006,174301.43385809,169255.64912285,196670.90871128,0.9705882352941175
2020-02-05,190130.71559356002,186066.33764621,183759.87952693005,179402.65941128,176700.86884972005,204558.70073208,0.9607843137254901
2020-02-11,190858.95559356,186916.46764621005,184554.45952693006,178640.62941127998,177858.28884972003,205393.60073208,0.9647058823529411
2020-02-12,186183.75559356,182373.29764621003,179810.77952693007,176721.35941128,175542.37884972,199827.60073208,0.9385620915032679
2020-02-16,184688.53559356002,181167.07764621003,178715.35952693003,172497.98941128002,173651.91884972,198714.40073208,0.9333333333333332
2020-02-18,182734.17559356,179254.19764621006,176833.6095269301,170231.42941127997,171779.65884972,196627.15073208002,0.9235294117647059
2020-02-23,188854.50559356002,185126.50764621003,183360.16952693008,170305.41941128002,171698.89884972002,204697.85073208003,0.961437908496732
2020-02-24,184967.31559356,181442.17764621,179917.00952693005,165851.34941128,166680.60884972,201079.95073208,0.9444444444444443
2020-03-03,175073.96562556,172684.71785126,171003.73451588006,156758.71871197,161815.43460299,189726.39575008003,0.8477124183006536
2020-03-08,174863.09562556,171973.87785126,170986.99451588004,152608.63871197,155791.80460299004,190457.79575008003,0.8509803921568627
2020-03-10,159145.18562556,157084.78785126001,155771.65451588004,143340.51871197,145520.29092652,173050.47575008002,0.7732026143790849
2020-03-17,133158.78562556003,131292.64785126003,130687.44451588007,120699.62871197,117821.96092652004,145696.11575008003,0.6509803921568628
2020-03-19,124783.08562556001,123231.29785126001,122079.22451588005,118684.16871197001,115150.86092652004,135456.51575008003,0.6052287581699346
2020-04-02,144962.51390686003,142733.27072337005,141292.95068030007,140076.07246844,135536.27923582002,155533.00403138006,0.6509803921568628
2020-04-05,145049.82390686002,142714.42072337004,141498.85068030006,136882.50246843998,133766.52923582005,156001.45403138,0.6529411764705882
2020-04-06,142812.57390686002,140707.90072337,139085.23068030004,139005.07246844,135205.83923582005,152878.45403138,0.6398692810457516
2020-04-09,155784.85390686,153633.80072337002,152428.56068030006,146289.54246843996,143192.17923582002,168181.15403138002,0.7039215686274509
2020-04-22,152739.04390686002,150281.53072337003,149070.58068030007,145797.79246844,140326.62923582003,164433.55403138,0.688235294117647
2020-04-23,152512.92390686,150243.70072337,148479.57068030004,150341.19246844001,144614.86923582002,163184.35403138003,0.6830065359477123
2020-04-29,163173.63390686002,160580.74072337005,158982.60068030006,158464.07246844,152313.48923582004,175051.75403138006,0.7326797385620916
2020-05-07,170315.90269236002,167167.68323633005,166411.9475330001,155493.18437817,152782.26186785006,183115.28543093,0.7241830065359477
2020-05-13,174086.13269236003,170690.17323633004,170577.49753300007,153667.91437817,150864.97186785005,188403.60543093,0.7450980392156863
2020-06-04,183070.89072756004,179924.88349439003,178667.84737490007,171135.86471627,169122.41143165002,195144.17465461005,0.7333333333333334
2020-06-07,187154.83072756,184354.27349439,182529.24737490003,177379.35471627003,177503.82143165002,198796.49465461003,0.7470588235294117
2020-06-09,194872.41072756005,191376.41349439003,190401.75737490004,175862.20471627,177046.12143165,208362.09465461003,0.7830065359477124
2020-06-17,191425.46072756004,188057.86349439,186921.44737490005,175618.88471627003,175379.83143164997,204361.93465461003,0.7679738562091503
2020-06-18,190989.68072756004,187528.90349439002,186420.68737490007,174501.72471627002,174686.15143165,203840.17465461005,0.7660130718954249
