family,scope,holdout_excess_vs_dca,holdout_twr_total_return,holdout_cagr,holdout_sharpe,holdout_max_drawdown,meta_json
annual_top10_stock_immediate,stock_holdout,0.5721252868747233,1.1332367601439595,0.7174920636901863,2.6184001755395254,0.11150983183013186,"{""coverage_min"": 0.6758620689655173, ""coverage_under_95_count"": 7, ""lookback_bars"": 126, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 12}"
annual_top10_basket_pullback,basket_holdout,0.5448595964925125,1.1059710697617486,0.7017922040321387,2.6559933425902424,0.09398878838024194,"{""basket_start_date"": ""2015-01-15"", ""coverage_min"": 0.6758620689655173, ""coverage_under_95_count"": 6, ""lookback_bars"": 378, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 12}"
annual_top10_basket_immediate,basket_holdout,0.535411056177348,1.0965225294465841,0.6963380941718742,2.3294079139889416,0.15728144719180215,"{""basket_start_date"": ""2015-01-15"", ""coverage_min"": 0.6758620689655173, ""coverage_under_95_count"": 5, ""lookback_bars"": 189, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 10}"
annual_top10_basket_pullback,basket_holdout,0.5171567095061387,1.0782681827753748,0.6857809205456507,2.4206511850711956,0.1535905080548582,"{""basket_start_date"": ""2015-01-15"", ""coverage_min"": 0.6758620689655173, ""coverage_under_95_count"": 5, ""lookback_bars"": 189, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 10}"
annual_top10_stock_immediate,stock_holdout,0.5132248136408935,1.0743362869101296,0.6835034906791084,2.3013594392939787,0.15681967833632038,"{""coverage_min"": 0.6758620689655173, ""coverage_under_95_count"": 5, ""lookback_bars"": 189, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 10}"
annual_top10_basket_immediate,basket_holdout,0.48431281095780276,1.045424284227039,0.6667189610452429,2.40054764346447,0.12596404809103035,"{""basket_start_date"": ""2015-01-15"", ""coverage_min"": 0.6758620689655173, ""coverage_under_95_count"": 7, ""lookback_bars"": 189, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 12}"
annual_top10_stock_immediate,stock_holdout,0.4660836741881198,1.027195147457356,0.6561013603178478,2.3738510085414535,0.1254993677821079,"{""coverage_min"": 0.6758620689655173, ""coverage_under_95_count"": 7, ""lookback_bars"": 189, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 12}"
annual_top10_basket_pullback,basket_holdout,0.4537368000670199,1.014848273336256,0.6488943781493877,2.481299424830068,0.12270586418348473,"{""basket_start_date"": ""2015-01-15"", ""coverage_min"": 0.6758620689655173, ""coverage_under_95_count"": 7, ""lookback_bars"": 189, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 12}"
annual_top10_stock_pullback,stock_holdout,0.3207954489707139,0.88190692223995,0.5704727314813798,1.9782847206524716,0.12522454813863193,"{""coverage_min"": 0.6758620689655173, ""coverage_under_95_count"": 7, ""lookback_bars"": 126, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 12}"
annual_top10_stock_pullback,stock_holdout,0.25316727638285275,0.8142787496520889,0.529973417327751,1.9017592864408295,0.1611394379999298,"{""coverage_min"": 0.6758620689655173, ""coverage_under_95_count"": 5, ""lookback_bars"": 378, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 10}"
annual_top10_stock_pullback,stock_holdout,0.2123587085388008,0.773470181808037,0.5053263124379639,1.8351279630845032,0.16452589245082283,"{""coverage_min"": 0.6758620689655173, ""coverage_under_95_count"": 6, ""lookback_bars"": 378, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 12}"
annual_top10_basket_immediate,basket_holdout,0.1453239172788625,0.7064353905480987,0.46448368732953504,1.9094797280804556,0.10399258952217771,"{""basket_start_date"": ""2015-01-15"", ""coverage_min"": 0.6758620689655173, ""coverage_under_95_count"": 5, ""lookback_bars"": 378, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 8}"
annual_top10_basket_immediate,basket_holdout,0.1359596165058914,0.6970710897751276,0.458742027011402,2.0283212292738524,0.09794841996913672,"{""basket_start_date"": ""2015-01-15"", ""coverage_min"": 0.8482758620689655, ""coverage_under_95_count"": 6, ""lookback_bars"": 252, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 10}"
annual_top10_basket_pullback,basket_holdout,0.13494392097959418,0.6960553942488303,0.4581187156718569,2.1296062249141072,0.09543641229548994,"{""basket_start_date"": ""2015-01-15"", ""coverage_min"": 0.8482758620689655, ""coverage_under_95_count"": 6, ""lookback_bars"": 252, ""membership_last_effective_date"": ""2025-02-01"", ""top_n"": 10}"
