rebalance_date,selection_date,rank,symbol,holding_name,score,rel_mom_126,ratio_vs_sma200,residual_strength_126_126b,median_daily_value,max_drawdown_252,vol_63,beta_252
2019-02-05,2019-01-08,1,CCAP,QALA For Financial Investments,0.907051282051282,2.5735815602836882,1.5022913328812155,1.5243480717291231,74562820.66,0.276595744680851,0.3493470044714253,0.6120720456688649
2019-02-05,2019-01-08,2,ORHD,Orascom Development Egypt,0.7987179487179488,4.914893617021277,1.4728709451003765,1.996360055341549,19100056.05,0.4832214765100671,0.5394236103554797,0.633193033217193
2019-02-05,2019-01-08,3,ABUK,Abou Kir Fertilizers,0.7942307692307692,1.6336306968164611,0.45310824222706514,1.115895502054897,2365349.56,0.35997764114030195,0.30760671153134017,0.27104489402131987
2019-02-05,2019-01-08,4,GBCO,GB Corp,0.7237179487179487,0.8385101206191439,0.41816748564929673,0.7178890274152655,1555582.6800000002,0.31610044313146235,0.3644943567613968,0.5997060011567948
2019-02-05,2019-01-08,5,EAST,Eastern Company,0.7057692307692308,0.8240147637900881,0.33638825739875267,0.7442724128020665,12454546.0,0.4617202268431002,0.3172192603063166,0.3105130211812056
2020-01-02,2019-12-31,1,ORHD,Orascom Development Egypt,0.8446666666666668,1.862316233781807,0.7247046558178065,1.233570071919489,3767476.74,0.23974358974358978,0.27250854227801413,0.7314615809869095
2020-01-02,2019-12-31,2,COMI,Commercial International Bank-Egypt (CIB),0.8379999999999999,1.3331928134096156,1.5180836046214847,1.2098478067475176,75406268.34,0.2412882787750793,2.0081164200189097,0.714959078598005
2020-01-02,2019-12-31,3,VLMR,Egyptian Kuwaiti Holding,0.8026666666666668,1.1159057744423597,0.48013703174186295,1.0737062579050032,289809.9,0.4308510638297872,0.15705286330912216,0.3022645288523515
2020-01-02,2019-12-31,4,CCAP,QALA For Financial Investments,0.7426666666666668,1.225349176568689,0.34645467752155534,1.0992506926520016,17755012.0,0.5305164319248826,0.3176185037273419,0.659182180876335
2020-01-02,2019-12-31,5,EAST,Eastern Company,0.6900000000000002,0.49739149739149724,0.45526221867826355,0.5957043668491298,11627181.61,0.4546313799621928,0.7559928416795494,0.382180306481844
2021-01-04,2020-12-30,1,ETEL,Telecom Egypt,0.8246376811594203,0.33223139237511523,0.17298022954790837,0.2818554909160058,14589250.4,0.4715608465608465,0.22656089566228652,0.84325719248556
2021-01-04,2020-12-30,2,COMI,Commercial International Bank-Egypt (CIB),0.8123188405797102,0.33650806532832833,0.06271610037567865,0.6872706001697527,76206041.73,0.663454589255601,0.1868512498186273,0.7301219048772954
2021-01-04,2020-12-30,3,VLMR,Egyptian Kuwaiti Holding,0.717391304347826,0.471057427131957,0.20778841673153936,0.25901250588709923,417863.35000000003,0.430327868852459,0.11995790358543208,0.41757703334694296
2021-01-04,2020-12-30,4,ADIB,Abu Dhabi Islamic Bank- Egypt,0.6405797101449274,0.08897480973633187,0.14186713429405473,-0.1262678735023148,1272848.82,0.4199604743083003,0.30968364689054767,0.6740483587874342
2022-01-02,2021-12-29,1,TMGH,T M G Holding,0.8473333333333333,0.31591196151675605,0.17618925290177878,0.388834535956394,9460008.08,0.2632821723730815,0.24961643094253289,0.7386080531271385
2022-01-02,2021-12-29,2,ETEL,Telecom Egypt,0.8446666666666668,0.28787120359955054,0.1704323833433048,0.40427283655324864,10169398.16,0.297056810403833,0.22430273500906858,0.6295270741298737
2022-01-02,2021-12-29,3,JUFO,Juhayna Food Industries,0.8293333333333335,0.450218340611354,0.19783798709695088,0.5514516758494847,4748714.2,0.5072815533980584,0.2380721095088589,0.3352294349954417
2022-01-02,2021-12-29,4,GBCO,GB Corp,0.7799999999999999,0.22106467460798185,0.18364937372593593,0.3107424494417366,7192748.85,0.2230215827338129,0.4618892702715357,0.8774723617414476
2022-01-02,2021-12-29,5,HRHO,EFG Holding,0.7106666666666668,0.09646487370896839,0.09397950850190284,0.21682363819731515,12570488.040000001,0.1928721174004192,0.24211548454193585,1.0082228490641783
2023-01-02,2022-12-29,1,ABUK,Abou Kir Fertilizers,0.7548611111111112,0.08854017044910467,0.09446692395371481,0.426464449480361,27993849.46,0.26487991646362685,0.3611254409868067,0.17103175812591082
2023-01-02,2022-12-29,2,MCQE,Misr Cement - Qena,0.726388888888889,0.17463624398187338,0.1381659176766188,0.5063469817235602,2755002.5100000002,0.46712586098935505,0.34185240887046536,0.07564350485920567
2023-01-02,2022-12-29,3,ETEL,Telecom Egypt,0.7243055555555556,0.14958771041008423,0.06513164330572652,0.45765146440256754,30491412.0,0.3171487603305785,0.3866100982715934,0.213577885351228
2023-01-02,2022-12-29,4,COMI,Commercial International Bank-Egypt (CIB),0.6604166666666667,0.07645222928682904,0.03199635618093466,0.4391591299825356,207914028.0,0.3594315965449987,0.43416105448189357,0.2871533667631414
2023-01-02,2022-12-29,5,ARCC,Arabian Cement Company,0.6597222222222222,0.28702236591034813,0.10535319541946819,0.5467793531861462,145092.0,0.4619289340101522,0.36986390918266165,0.19666440552325773
2024-01-02,2023-12-31,1,TMGH,T M G Holding,0.8093333333333333,0.9311244511728562,0.4692681337804281,1.0012103414837268,48106997.4,0.23722627737226287,0.7630922568378004,0.004877621994681256
2024-01-02,2023-12-31,2,EFID,Edita Food Industries (EDITA),0.7979999999999999,0.2002640086632781,0.17777543851860167,0.5376709776122175,4174657.83,0.2247191011235955,0.39870921346968746,0.08096747933711036
2024-01-02,2023-12-31,3,ABUK,Abou Kir Fertilizers,0.7366666666666666,0.3644769038235238,0.14607025377925464,0.5924738934216781,89841804.0,0.26195426195426197,0.6271118711109362,0.05279126606599111
2024-01-02,2023-12-31,4,ETEL,Telecom Egypt,0.7260000000000002,0.04205312691809304,0.04051122374672178,0.4563276850145258,27679812.96,0.22829581993569126,0.4182227224397814,-0.015588346638477038
