date,stock_immediate_equity,stock_pullback_equity,etf_dca_equity,etf_buy_hold_norm
2025-01-02,111047.44175442,110000.0,109989.02337723998,1.0
2025-01-05,111542.79098117,111009.67483582,111141.57337723998,1.0104790419161678
2025-01-06,110705.85425049,108861.22483581999,111602.59337723999,1.0146706586826348
2025-01-08,109208.67472669002,107715.38483581999,109824.37337723999,0.9985029940119762
2025-01-09,107865.57472669,105996.62483582001,110120.74337723998,1.0011976047904192
2025-01-12,106460.92472669002,103132.02483582,108902.33337723998,0.9901197604790419
2025-01-13,103550.29472668997,99551.27483582,108309.59337723999,0.9847305389221558
2025-01-14,103792.25842017,97402.82483581999,105609.33337723998,0.9601796407185629
2025-01-15,107845.39842017,102129.41483582,107157.04337723998,0.974251497005988
2025-01-16,108965.68842017,102415.87483582001,108704.75337723998,0.9883233532934131
2025-01-19,110793.79842016997,102988.79483582001,109495.07337723998,0.9955089820359282
2025-01-20,109048.61842017,100553.88483581999,109956.09337723999,0.9997005988023953
2025-01-21,111545.48842016996,100410.65483582,109528.00337723998,0.9958083832335329
2025-01-22,112131.80842016998,100983.57483581999,109659.72337723998,0.997005988023952
2025-01-23,113228.36842017,100697.11483582,109462.14337723999,0.9952095808383234
2025-01-26,114238.63842017,100410.65483582,109923.16337724,0.9994011976047905
2025-01-27,112747.95842016999,98118.97483581999,110318.32337723998,1.0029940119760479
2025-01-28,112025.54842016999,98835.12483582001,110087.81337723999,1.0008982035928145
2025-01-29,112421.37842016999,100410.65483582,109165.77337723998,0.9925149700598802
2025-01-30,113336.82842016999,99264.81483582,109429.21337723997,0.9949101796407185
2025-02-02,123148.13683738999,108262.20483582,121176.60328419,1.0110778443113775
2025-02-03,122162.00037988,107542.1315625,120674.28328419,1.0068862275449102
2025-02-04,120987.13075204,108063.7415625,119992.56328418996,1.0011976047904192
2025-02-05,120349.54658038,107250.32156249999,119633.76328419,0.9982035928143714
2025-02-06,121368.13658037999,106897.23156249999,119920.80328418998,1.0005988023952097
2025-02-09,122719.12658037999,106917.9015625,121033.08328418998,1.009880239520958
2025-02-10,122446.76658038,107408.87156249999,120997.20328418998,1.0095808383233533
