family,number,value,param_kama_len,param_kama_fast,param_kama_slow,param_cci_len,param_buy_threshold,param_trend_buffer_atr,param_atr_len,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,holdout_score,holdout_cagr,holdout_sharpe,holdout_profit_factor,holdout_max_drawdown,holdout_return_dd,holdout_closed_trades,holdout_twr_total_return,holdout_excess_return_vs_dca,holdout_dca_twr_total_return,holdout_final_equity
dca_pullback_only,0,-0.06364820894070222,21,5,50,28,-130.0,0.30000000000000004,8,0.8873380655554307,0.2715470427881663,1.1218456052847712,0.0,0.25302582591263056,1.7598091213524503,0.0,0.2702618516185518,-0.39171832335898354,293115.43338966504,1.445249722075418,0.3357476657341074,1.8566634023667166,0.0,0.12143151514064943,2.764913748669148,0.0,0.4983561968200876,-0.06364820894070222,0.5620044057607898,396102.85623820004
dca_pullback_only,1,-0.04690525323067263,36,4,49,10,-5.0,1.7000000000000002,12,1.4803178358479805,0.5667327472427683,1.7836301623903876,0.0,0.2844204150141715,2.773083025389772,0.0,0.5639156938271328,-0.0980644811504025,342846.3594317825,1.3417661362602602,0.34641639667305557,1.724499361999774,0.0,0.1360498436367764,2.5462461948718755,0.0,0.5150991525301172,-0.04690525323067263,0.5620044057607898,407178.61547489004
dca_pullback_only,2,-0.26184524806211495,15,2,32,26,-90.0,0.6000000000000001,21,1.3538402663762963,0.46241404502605477,1.6649303100473414,0.0,0.29869887443358834,2.579503780319258,0.0,0.46014416234034367,-0.2018360126371917,325807.58164446,0.9708073435168213,0.20673287533976614,1.6453934115198499,0.0,0.11666043667764026,1.772090703817755,0.0,0.30015915769867485,-0.26184524806211495,0.5620044057607898,362977.01774987
dca_pullback_only,3,-0.038462923710422814,14,3,35,24,-35.0,0.4,19,1.3861034584675151,0.4821022383727285,1.6491693357412511,0.0,0.27514027730903534,2.651330056528596,0.0,0.47973605318096735,-0.18224412179656801,329919.7237130075,1.3803095536041674,0.3517831971896954,1.8009759051284333,0.0,0.13482767073089474,2.609132051920014,0.0,0.523541482050367,-0.038462923710422814,0.5620044057607898,406262.81260076
dca_pullback_only,4,-0.028849838771265013,28,2,44,15,-145.0,1.9000000000000001,30,1.5733329863146341,0.43780563106756015,1.7449295129526825,0.0,0.29846336948878627,3.1166529659142874,0.0,0.4356926429025799,-0.22628753207495544,322994.8922809625,1.4283595752714437,0.35788397275946404,1.8543447095237269,0.0,0.1323638128371949,2.703790145420296,0.0,0.5331545669895248,-0.028849838771265013,0.5620044057607898,406798.23640228
dca_pullback_only,5,-0.0366006618131387,35,3,24,31,-85.0,0.2,18,1.4383040984958153,0.4817234444833633,1.731999267126742,0.0,0.27332057816209465,2.751057699141015,0.0,0.4793445737147879,-0.18263560126274747,328456.266065725,1.5574083839297952,0.3529659010747568,2.010052350003712,0.0,0.11874703912338269,2.9724185434890025,0.0,0.5254037439476511,-0.0366006618131387,0.5620044057607898,404072.54088513
dca_pullback_only,6,-0.06577735241113225,11,5,30,30,-105.0,1.0,20,1.4227680419762856,0.48366969375699626,1.7179123456159895,0.0,0.2925558126196538,2.7160417466008866,0.0,0.4812857023988693,-0.18069447257866605,329350.792760395,1.4395199191993815,0.3343885392840922,1.8509396035901593,0.0,0.12142153670288303,2.753947515112881,0.0,0.49622705334965755,-0.06577735241113225,0.5620044057607898,395773.16290387
dca_pullback_only,7,-0.03674185514130435,15,5,51,39,-20.0,1.2000000000000002,29,1.4129853185783694,0.4812715928218741,1.6927060498258806,0.0,0.29893804316405503,2.7028320454117507,0.0,0.4789029187316559,-0.18307725624587945,329620.22915919754,1.4503303338438343,0.3528762449824323,1.8257815959520272,0.0,0.12721280474039398,2.7739050774216856,0.0,0.5252625506194855,-0.03674185514130435,0.5620044057607898,404853.38517376
dca_pullback_only,8,-0.009193917389057393,12,2,21,20,-95.0,0.5,26,1.544246706896056,0.42084880740361025,1.7998584307318177,0.0,0.298266855404819,3.0360417120933,0.0,0.418795134659948,-0.24318504031758736,319256.78750029503,1.5042105895666622,0.37032455495325545,2.038100349587429,0.0,0.13162999922528873,2.8133750446920063,0.0,0.5528104883717324,-0.009193917389057393,0.5620044057607898,409008.0365443401
dca_pullback_only,9,-0.047265404350557594,21,3,42,14,-30.0,0.1,30,1.5595492021181232,0.5774892937046565,1.8640367558761035,0.0,0.2710882585723343,2.9329557899952743,0.0,0.574615314954201,-0.08736486002333438,343064.54627777496,1.3535070309049162,0.3461872594482862,1.7641869345617514,0.0,0.13518080715530512,2.56092019816513,0.0,0.5147390014102322,-0.047265404350557594,0.5620044057607898,406237.41242868005
