kama_len,kama_fast,score
25,2,1.388863998239834
25,3,1.388863998239834
25,4,1.3885685129798286
26,2,1.388863998239834
26,3,1.388863998239834
26,4,1.3885685129798286
27,2,1.388863998239834
27,3,1.3908975937693075
27,4,1.3885685129798286
